Date,Mach type,Mach,Effect,Machine Area,Description,Resolution
9/28/2015,,I17,,,Major hydraulic leak at Iemca,Replaced ruptured hose
9/28/2015,,T100,,,No Power,Reset all motor overload devices-Online
9/28/2015,,T104,,,Smog Hose connection too long; Leaking oil,Shortened hose
9/29/2015,,H34,,,Inverter failing; Needs new seals,Seals replaced
9/29/2015,,T98,,,Base cleaning req,Base cleaned
9/29/2015,,T99,,,Base cleaning req,Base Cleaned
9/30/2015,,H14,,,Broken oil line fitting between ST#10 / St#11,Broken fitting removed
9/30/2015,,H24 ,,,"Bar feed faults; Check, Charge, Tag accumulator",LP at 20 bar; charged to 30bar / HP OK at 50bar
9/30/2015,,I19,,,Chip conveyor jammed,Chip conveyor belt removed (Very difficult) replaced with new belt
9/30/2015,,Reclaim,,,INOP pump on oil pumper cart,Pump repaired
9/30/2015,,SC4,,,Workzone lighting INOP; Broken,New lighting fixture ordered and installed on 10/30
9/30/2015,,Sinico,,,Front feeding clamp will not return,Adjusted flow control on clamp return cylinder
10/1/2015,,A75,,,Base clean,Completed
10/1/2015,,A78,,,Slow indexing; clutch adjustment required,Steve and Jose adjusted the clutch; Online
10/1/2015,,H14,,,Invertter faults; Check accumulators,Inverter guards improperly installed; Russ corrected
10/1/2015,,H18,,,Check and charge accumulators,Replaced two LP accumulators
10/1/2015,,H19,,,Check and charge accumulators,Charged to 30bar
10/1/2015,,H28,,,Loader chain broken,Repaired
10/1/2015,,T102,,,Base clean,Completed
10/2/2015,,I17,,,Iemca encoder actuator will not move; air leak,Replaced SMC actuator; New parts ordered
10/2/2015,,Sinico,,,Coolant pump INOP,Replaced motor with inventory motor
10/3/2015,,H23,,,Exposed wiring at St#12 motor,Repaired
10/5/2015,,Ewag,,,Spindles won't turn,Burned relay replaced; Replaced all similar relays because of age
10/5/2015,,H11,,,Pendant connection unscrewed; Falling off machine,Reapired
10/5/2015,,H24 ,,,Machine spilling oil on the floor when shut down,Tank is overfilled again! Removed and cleaned the site glass
10/5/2015,,H24 ,,,St#5 tool clamp screw cracked; cannot remove the tool holder,Removed and replaced broken clamp screw; VDI
10/5/2015,,H26,,,Bar push dog went under magazine tray; Trays damaged from hit with fork truck during loading,Removed trays and hammered back to correct form. Replaced all screws holding tray supports.
10/5/2015,,H30,,,St#3 spindle bearings worn; OD Chatter,Spindle bearings replaced
10/5/2015,,H4,,,Brush unit stuck forward,This brushing unit came from H37 Toronto. Lead screw was bound by dried grease and a weak spring pack.; Cleaned and greased the lead screw. Also added springs to the spring pack
10/5/2015,,H4,,,Table will not go low,Dirt found in Lucifer valve; 
10/5/2015,,I19,,,Auto load gripper broken / Coolant doesn't flow,Replaced bar clamp prox S5.2;  Put oil in machine.
10/5/2015,,I5,,,Hydraulic leak at Sp#3 horseshoe,Replaced O-Rings in horseshoe fitting
10/5/2015,,Prab,,,Air blades and parts separator blower INOP,Air blades replaced by Brian / MLW replaced blower fan
10/6/2015,,H25,,,Replace pendant controller with new GE unit,Replaced and functional
10/6/2015,,H29,,,Cut off saw valve leaking hydraulic,Replaced hardened O-Rings on loader valve plate
10/7/2015,,H20,,,Brushing unit INOP; :Motor pulley of the drive shaft from motor hanging off mount,Remounted motor and pulley 
10/7/2015,,H33,,,"Check, charge accumulators",LP was OK / HP was low at 30- charged to 50
10/7/2015,,H7,,,Bearings worn in stradle mill St#3,Rebuilt
10/8/2015,,H15,,,St#6 motor hanging from gear reduction box,Swapped with shelf GRM; Motor removed was repaired
10/8/2015,,I2,,,Burrs on parts   ?????????,Removed B side turret to clear chips but found NONE
10/8/2015,,I2,,,Burrs on parts   ?????????,Removed A side turret to clear chips
10/8/2015,,I3,,,Transport INOP,Replaced cables for gripper open/close
10/11/2015,,H4,,,Threading unit INOP,Repaired
10/13/2015,,A67,,,Coolant pump INOP,AB 595-A Auxilliary Contactor failing; DK has enabled it to keep online until new part arrives. ETA 10/19
10/13/2015,,H22,,,CNC unit running over 30 second time cycle,Removed and cleaned hydraulic filter for CNC unit
10/13/2015,,I1,,,Pull side B turret'; No reason provided,Pulled but found no chips in turret
10/13/2015,,I3,,,Chuck cylinder pressure alarm,Tranport would not reverse which turned into chucking pressure alarms. Actuated the mandrel draw in/out repeatedly; OK
10/13/2015,,I5,,,HS1 Drive fault,Swapped HS1 and HS2 modules; Fault did not return
10/14/2015,,AIM 1 R3,,,Escapement operating erratically,Part UNLOAD sensor issue; cleaned and reset sensor
10/14/2015,,AIM 3 R2,,,Orientator at St#7 fell out causing jam at St#8,Cleared jam and reinstalled orientator
10/14/2015,,FPI,,,Gate clamps broken,Replaced 2 broken gate clamps and repaired two that were loose
10/14/2015,,H14,,,HP Coolant pump L fitting leaking,Repaired
10/14/2015,,H23,,,Tool detection INOP,Found no issue other than wrong units activated in controller
10/14/2015,,H24 ,,,Chip conveyor contactor fault,Replaced motor contactor
10/14/2015,,H6,,,"Check, Charge, Tag accumulators",LP at 20bar; Charged to 30bar / HP OK
10/14/2015,,H7,,,Install chip guards at 5/6,Completed
10/14/2015,,H7,,,Install chip guards at 9/10,Completd
10/14/2015,,I17,,,Hydraulic leak at Iemca Quick Connect,Replaced QC fitting
10/14/2015,,Mitsubishi,,,Horn INOP on fork Truck,Reconnected loose wire
10/14/2015,,Sinico,,,Window on front side door leaking heavily,Replaced
10/15/2015,,Deco 1,,,Beta servo alarm #000 switch off the CNC,"Over travel on 2 axis, Soft limit reached; DK manually moved off the limit switches and cleared the alarm"
10/15/2015,,H11,,,"""Electric wire shorting out on machine base""",Station #12 Motor Connection was worn through from operators stepping on it.; Rewired
10/15/2015,,SC7,,,Overload maindrive faults,Replaced performance module / LT module / Sync chain tensioned properly to prevent back roll; Finally replaced motor; DK believes the overload protection module in the Siemens motor is faulting. Motor was swapped from SC4
10/16/2015,,H21,,,Hydraulic leak from table rack drive,rebuilt table rack drive
10/16/2015,,H26,,,St#9 CB tripping,Motor replaced       
10/16/2015,,H35,,,St#2 contactor overload fault,Found St#2 with a broken tool; OPERATOR!
10/16/2015,,I4,,,Axis 3X drive fault,Moved axis manually and rebooted the machine; Alarm cleared
10/16/2015,,Sinico,,,Replace OAL parts O/S detection sensor,Sensor OK; Replaced sensing tip as spring was bent unit in machine
10/19/2015,,Barret,,,Will not start,Replaced safety interlock on lid
10/19/2015,,H14,,,Brush unit INOP,Replaced damaged plug in wiring
10/19/2015,,H23,,,St#10 HSK clamping screw too tight for operator,Removed
10/19/2015,,H25,,,Tablle will not index,Replaced solenoid valve attavhed to table indexing valve
10/19/2015,,H25,,,Bar will not feed into collet / dropping parts,Bar loading valve reset plunger pressed in; Needed to be released.
10/19/2015,,H28,,,Safety switches for splash cover INOP,Replaced two switches /PEENED SHUT BY OPERATORS
10/19/2015,,H38,,,Coolant will not stay on,Plug in connector loose / kicked; Reset and locked in with wire ties / Also reset tripped breaker
10/19/2015,,H4,,,Bar loading with 3' of bar remaining in tray,
10/19/2015,,I2,,,Side B turret won't lock,Non Maintenance!; JW homed the turret believing it was struck by the main spindle under manual mode
10/19/2015,,I4,,,Servo 2 drive faults,
10/19/2015,,TK2,,,Sliding door stop broken,Welded reapir
10/19/2015,,TR2  ,,,Bad air hose near band saw,Repaired
10/20/2015,,A67,,,From 10/13; Replace 595 A Auxiliary Contactor,Replaced
10/20/2015,,H11,,,St#4 power cord casing open; stepped on.,Rewired
10/20/2015,,H11,,,Power cord to St#4 motor; covering is torn,Rewired motor / plug
10/20/2015,,H12,,,Check accumulator,OK at 30bar
10/20/2015,,H27,,,Hydraulic leaking from collets,Only coolant draining from collets in table; likely from additional coolanr feed line through table top
10/20/2015,,I2,,,Turret 3 position code not assigned; Synchronize turret,Synchronized turret multiple times until alarm cleared.
10/20/2015,,I3,,,Transport INOP; Not completing cycle,Cycled actuator ON/OFF multiple times until functional
10/20/2015,,T91,,,Spindle bearings maybe worn; Chatter,All bearings replaced; Turned over to Prod for break in period
10/21/2015,,H25,,,Check Accumulators,Both low; Charged to LP 30bar / Charged HP to 50bar
10/21/2015,,H27,,,Check Accumulators,Both OK
10/21/2015,,H28,,,Mag conveyor motor fan cover broken exposing fan,Repaired cover; Temporary until new cver is obtained
10/21/2015,,H38,,,Check Accumulators,LP OK; Unable to check HP due to connection type
10/21/2015,,I18,,,Hydraulic leak at rear of Iemca,Replaced ruptured hydraulic hose
10/21/2015,,I6,,,Multiple side A alarms; X Axis overtravel,
10/21/2015,,I6,,,Major Hydraulic leak Side B,Ruptured hydraulic return line replaced; Difficulty locating as it runs under the spindle casting
10/21/2015,,I6,,,Side A spindle alarm; turret 2 not locked / X Axis over travel,Found offset entry at +.300 putting it onto the limit switch; Replaced offset and cleared alarms
10/21/2015,,I6,,,Major Hydraulic leak side B,Ruptured return line under spindle mount
10/21/2015,,Mitsubishi,,,Horn not working on Mitsubishi fork truck,Repaired
10/22/2015,,Deco 3,,,Modify cover plate for chip prevention,Modified with cover plate
10/22/2015,,H21,,,Hydraulic leak,Leaking fitting tightened
10/22/2015,,H26,,,St#2 spindle bearings appear worn,Rebuilt St#2 spindle and reinstalled by shifts end
10/22/2015,,H31,,,Chip conveyor iINOP,Replaced clutch
10/22/2015,,H33,,,Saw depth adjustment stripped,Issued Alex spare saw head attachment; Unit removed repaired and stored
10/22/2015,,H6,,,Check accumulators,LP ok at 30bar / HP ok at 50bar
10/23/2015,,Ewag,,,C Axis failing; Install rebuilt unit when ready,Axis rebuild completed and installed
10/23/2015,,FPI,,,RHE Skimmer INOP,Replaced skimmer unit
10/23/2015,,H14,,,Brushing unit jammed,Brake on motor adjusted
10/23/2015,,H15,,,Exposed wiring on oil pump motor connection,Replaced Seal Tite fitting
10/23/2015,,H2,,,Loose decking on LHE near St#1,Bolted to prevent movement
10/23/2015,,H8,,,Assess spindle bearings on St#3 Vert; Variaiton to .006,Assessment; Bearing OK
10/26/2015,,A77,,,Machine will only run with clip,"Contacts of 3CR were not latching 2CR to indicate stock present.
Moved to different set of contacts on same relay.
"
10/26/2015,,H11,,,Chip conveyor jammed,Replaced both sprokets
10/26/2015,,H12,,,Spindle contactor overload; Cannot reset,Cycled units and reset
10/26/2015,,TR2,,,Service filtermist,Completed
10/27/2015,,H23,,,"Check, Charge, Tag Accumulators",Both low; Charged to LP 30bar / Charged HP to 50bar
10/27/2015,,H38,,,Repeat bar loader faults ,Rebuilt loader valve / Reset magazine trays (were not in slot) / replaced all hardware for chain guiding and tensioned the pusher chain
10/27/2015,,TK3,,,Oil pump INOP,Oil pump is OK; Motor starter for main coolant pump INOP. Ordered and installed on 10/29
10/27/2015,,Tsch 1,,,Balance system in not working,Replaced microphone; Unit is used but functioning. New part on hand 10/28
10/28/2015,,H11,,,Brushing stalls forward every hour,Reduced delay in reversing timer
10/28/2015,,H25,,,Saw unit will not return home,Not a saw unit issue; Chain getting caught under magazine trays; Adjusted for loose chain tension
10/28/2015,,H29,,,Vogel system alarms when cycling,Replaced vogel tank
10/28/2015,,H4,,,Bar loading faults ? Check accumulators,"Both accumulators low, but not significantly low. Charged to 30/50"
10/28/2015,,I18,,,Parts catcher damaged,"Straightened bent parts catcher, assisted operator with installation and adjusted position sensor"
10/28/2015,,I19,,,Iemca track #5 broken; Spindle shut OFF,"Track, mounting pins, and belt replaced"
10/28/2015,,I2,,,Side A turret will not lock,Corrected
10/28/2015,,RM227,,,FRL Broken off machine,Repaired and mounted
10/28/2015,,TK2,,,Sliding door detached,Attached 
10/29/2015,,A75,,,Motor making noise; chattering,Initial diagnosis was motor out of balance. Bearings were replaced but chatter remained. Purchased new motor from Jet Electric ($1000) but chatter remained; JPM found the motor single phasing. Replaced fuse and online
10/29/2015,,H10,,,Spindle move required for H8900 setup,Completed
10/29/2015,,H24 ,,,Bar feeder chain broken,Repaired
10/29/2015,,H38,,,Saw unit making loud noise,Replaced gear oil in saw attachment and valve for same
10/29/2015,,T103,,,Machine stopping mid cycle,Clutch adjusted
10/30/2015,,H10,,,Replace contactor #R309 as identified HOT per IR Scan,Completed
10/30/2015,,H5,,,Table will not index  ,Cleared debris from orifice; Table indexing valve
10/30/2015,,I18,,,Iemca locking device broken,Welded broken stud on lobster dovetail positioning clamps
10/30/2015,,I18,,,Iemca pusher locking device broken,Welded mounting post
10/30/2015,,I20,,,Low coolant alarms;  Sensor ?,Replaced sensor
10/30/2015,,I5,,,Heavy hydraulic leak reported at rear of MS32,Horseshoes #1 and #2 leaking due to broken bolts; Removed actuators to get to horseshoe repairs. Installed rebuilt actuators at pos #1 and #2
10/31/2015,,I19,,,Support for bar ends chute (Iemca) broken,Repaired and installed
11/1/2015,,I1,,,Hydraulic filter housing will not come off------,Replaced entire filter unit and pressure switch
11/2/2015,,Durr,,,Over temp alarm,Refilled tank with water; Searching for leak
11/2/2015,,I20,,,Spindle #2 down; broken track Iemca,Track #3 (spindle #2) replaced
11/2/2015,,I4,,,Parts gripper jaws INOP; Broken wire,Replaced sensor cable for 'jaws closed'
11/2/2015,,Sinico,,,Short in parts collector tube sensor wiring,Replaced wire
11/3/2015,,H1,,,Loose wire on loader,Replaced sensor on escapement
11/3/2015,,H15,,,Inner spring on #3 recess unit broken or disconnected,Spindle compression spring dislodged. Disassembled and reset.
11/3/2015,,H25,,,Cross drill INOP,Loose prox connections
11/3/2015,,H8,,,Accumulator check requested; Rotator problems,Checked and Charged
11/3/2015,,I20,,,Spindle #2 OFF due to HS2 alarm; Bad track on Iemca,Track replaced
11/3/2015,,I6,,,Doors unlocking w/o activating / Fatal panel error alarm,Replaced door unlock button on control panel
11/4/2015,,H31,,,Accumulator check requested  ,LP 25bar charged to 30bar / HP 25bar charged to 50bar
11/4/2015,,H32,,,Accumulator check requested  ,LP 25bar charged to 30bar / HP 45bar charged to 50bar
11/4/2015,,H5,,,Repeat table overtime faults,Replaced Table indexing solenoid valve
11/4/2015,,I1,,,Hydraulic filter faults,"As soon as started to look at this the sensor cable for the transport unit one collision sensor broke.
It took me some time to repair this. I swapped out the input module for group 8 and 9 with the module for groups 10 and 11.
Waiting to see if this makes a difference
"
11/4/2015,,I1,,,Hyd filter contaminated alarm repeats,Replaced pressure switch
11/4/2015,,TK1,,,Coolant pump INOP,"High pressure coolant pump trips overload. Motor starter contactor stuck partially on causing motor to single phase as soon as power is turned on.
Replaced Allen Bradley contactor with equivalent Siemens contactor
"
11/4/2015,,TK1,,,Coolant pump INOP,Replaced motor starter
11/5/2015,,A75,,,Motor chattering; Elect,Main motor starter; reapired broken ring terminal on motor starter coil / Motor bearings replaced but chatter continued; Motor was deemed bad and out of balance / Motor was replaced but also continued to chatter; due to missing power leg which was corrected
11/5/2015,,Barnes 3,,,Filter motor hot,Pump seized; Motor and pump retrieved from Induplate. Installed and online
11/5/2015,,H28,,,Hydraulic motor overload contactor tripping,NO HYDRAULIC OIL IN TANK; OPERATOR LEVEL
11/5/2015,,I1,,,Hydraulic filter faults,Reconfigured wiring for external pressure switch; Unit has an internal pressure switch (Replaced earlier in the week )
11/5/2015,,I2,,,Drive faults,Replaced LT module on Spindle #3
11/5/2015,,T100,,,Base cleaning requested,Completed
11/5/2015,,Tsch 1,,,Base required cleaning,Completed
11/5/2015,,Tsch 1,,,Loose rubber on platform,Oscar cleaned and glued down rubber; Operator could have done this instead of texting on his phone
11/5/2015,,Tsch 1,,,Base cleaning requested,Completed
11/6/2015,,H24 ,,,St#12 drill detection INOP,Detector was never wired in; Connected and functional
11/6/2015,,H5,,,St#5 brush unit INOP Mach has no power,Replaced 10A fuse for 110 VAC control voltage
11/6/2015,,Mayfran,,,Parts separator INOP,Replaced Baldor gear reducer
11/7/2015,,I17,,,Iemca facing travel flag sensor INOP,Repaired by Norm
11/7/2015,,I19,,,Coolant protection switch Q.3 overheating and tripping,Replaced motor starter
11/8/2015,,I4,,,Flipper / Gripper INOP,Replaced sensor cable
11/9/2015,,Deco 1,,,Main spindle collet will not open/close,Main spindle bearings and seals replaced
11/9/2015,,Grieve Oven,,,Door seal is ripped,Installed new gasket
11/9/2015,,H14,,,Bar not feeding faults,Replaced C/O saw prox / Replaced loader prox / adjusted applicable prox's
11/9/2015,,H15,,,Bar loader stops------,Replaced loader prox and adjusted
11/9/2015,,H24 ,,,CNC selector switch broken,Replaced
11/9/2015,,I3,,,Spindle feedback to PLC not reached,Traced to a roller switch failure on Side A
11/9/2015,,I5,,,Collets will not ipen,Loose cable to actuator coils tensioned
11/9/2015,,I6,,,Side B turret won't sync,Moved turret by hand to release lock pin and referrenced
11/9/2015,,RM222,,,Regulating wheel issues; drive shaft worn,Shaft made and installed with new pulley 
11/10/2015,,H10,,,St#3 oil line clogged,Removed earplug from coolant line; Operator level
11/10/2015,,H11,,,Check accumulators; Loss of form tools ??,Charged both but found broken collet; Marcel removed broken collet on 11/11
11/10/2015,,H27,,,Loader chain broken,Repaired
11/10/2015,,I20,,,Iemca; Check lubrification guide channel alarm,Lube filter replaced
11/10/2015,,SC4,,,No hydraulic pressure after motor was replaced,Repaired connection to relay K0C terminal #44
11/10/2015,,T91,,,Falling out of gear,Adjusted clutch
11/10/2015,,T92,,,Cannot engage drive with front side handle,Adjusted handle 
11/11/2015,,H33,,,Check accumulators,Replaced hydraulics filter and checked accumulators
11/11/2015,,I1,,,Transport wire side B out of terminal,Repaired sensor connection
11/11/2015,,T102,,,Base needs to be cleaned,Completed
11/12/2015,,H11,,,Table indexing faults,Adusted table indexing valve speed
11/12/2015,,H20 ,,,XD head worn?,Issued rebuilt XD head; Sack installed
11/12/2015,,H24 ,,,Contactor overload failure; Hydraulics down,Contactor set at 1.3Amps; Motor drawing 1.4Amps. Increased breaker setting to 1.6Amps
11/12/2015,,H27,,,Hydraulic leak(s),Added blue dye; Bottom RT XD hose leaking / Inverter hose leaks; All tightened
11/12/2015,,H6,,,Vogel lube system faults,Replaced vogel controller board
11/12/2015,,T100,,,Falling out of gear,Adjusted clutch
11/12/2015,,TR1,,,Horizontal belt snader power cord cut,Repaired
11/13/2015,,H10,,,J1019 setup spindle move St#9,Completed
11/13/2015,,H27,,,Table indexing faults,Adjusted table indexing valve speed
11/13/2015,,H31,,,St#9 and St#10 bearings worn,Replaced bearings in both 36/100 spindles
11/13/2015,,H5,,,Table indexing faults; Table will not drop,Table UP/DOWN valve adjusted; Possible bad piston
11/13/2015,,I2 ,,,Side B spindle will not turn on,Spindle was fine when JC arrived
11/13/2015,,Mayfran,,,Hole in vertical pipe section,Drilled and tapped hole to insert bolt to close hole
11/16/2015,,H10,,,Machine will not index,Replaced prox sensor on brushing unit; not registering home
11/16/2015,,H15,,,Vogel leaking from pressure gauge,Replaced gauge with plug; No gauges on hand
11/16/2015,,H20,,,Loader not locking in upright position,Removed broken allen wrench tip from positional set screw. Replaced bearings and seal.
11/16/2015,,H32,,,Bar feed faults / feeding wrong length and stopping at 1/2 table; cannot clear,Replaced high speed counter
11/16/2015,,H32,,,Pendant light dangling from tower,Screwed back in placed by tightening the two cap screws that vibrated loose OPERATOR LEVEL
11/16/2015,,H34,,,Brushing unit will not return,"Motor mounting bolts broken ; Replaced bolts, prox cable, and remounted"
11/16/2015,,I5,,,Track #1 will not move; Hyd motor just spins,Loose guide pulley at hyd motor tensioned; bolt almost falling out  OPERATOR LEVEL
11/16/2015,,T100,,,Machine will not stay in gear,Clutch adjusted
11/17/2015,,H1,,,St#4 upper XD replacement requested,Swapped and installed
11/17/2015,,H10,,,Spindles shutting down on their own,Contactor ajustment required / Relay logic machine
11/17/2015,,H24 ,,,Table drift; Bar change OT faults,Rebuilt 1/2 table valve and replaced table indexing solenoid valve
11/17/2015,,H26,,,St#5 bearings ??,Swapped 35/60 from shelf; Unit rebuilt
11/17/2015,,H27,,,Chihp conveyor tripping breaker,Reset breaker and connected plug that was likely kick loose by operators
11/17/2015,,H3,,,Accumulator check,NO ISSUE!
11/17/2015,,I2,,,Hydraulic pump failure; Motor siezed,Replaced hydraulic pump motor
11/17/2015,,T103,,,Drive engagement handle broken,Repaired
11/18/2015,,H27,,,St#8 HSK 25 clamp screw stripped,Removed and replaced
11/18/2015,,I18,,,"Channel 3 Block; N60 Z31 Speed li,it",T3.1 too close to soft limits; Tool position adjusted
11/18/2015,,I19,,,Coolant missing alarm,Adjusted coolant level sensor
11/18/2015,,I2,,,Turret 3 will not sync and lock,
11/18/2015,,SC2,,,Circuit breaker won't won't reset; Chiller switched OFF,Replaced breaker; Parts arrived 12/15
11/18/2015,,T99,,,Weak clutch tension reported,Adjusted clutch tension
11/19/2015,,A67,,,Coolant pump motor INOP,Motor starter ordered and installed with W37 overloads
11/19/2015,,H3,,,Accumulator check requested due to blank length variation,Saw attachment in need of rebuild; Swapped with spare unit
11/19/2015,,H30,,,CNC selector switch broken,Replaced
11/19/2015,,SC4,,,Iemca NO AIR PRESENT alarm,FRL replaced
11/19/2015,,SC8,,,Broken parts catcher basket,Repaired
11/19/2015,,SC9,,,Repeated hyd filter faults,New filter and hydraulic reservoir cleaned; SS
11/19/2015,,T104,,,Collet closing roll and bearings worn,Replaced rolls and bearings
11/19/2015,,T92,,,Base cleaning requested,Completed
11/20/2015,,Acucut,,,Spindle #2 shut off; replace bearings,Bearings replaced but finish issue was not resolved
11/20/2015,,ES6,,,Tool position #1 will not move freely,Removed headstock and cleaned all action
11/20/2015,,H1,,,Accumulator check,22bar charged to 30bar
11/20/2015,,H7,,,Leaking hydraulic at St#7 valve,Removed valve stack and replaced O-Rings
11/20/2015,,H7,,,Requires safety switch install,Installed
11/20/2015,,H7,,,Does not know how to adjust HP coolant pressure,Clear guidance issued
11/20/2015,,H8,,,Broken collet in housing #1,Removed
11/20/2015,,I17,,,HS6 fault; Spindle shut down,Replaced #6 spindle encoder
11/20/2015,,I19,,,Coolant missing alarm; Coolant is present,Replaced sensor again (11/18) Found sensory adjustment out of spec
11/20/2015,,I2,,,Side A turret has chips,Removed and cleaned; installed and aligned
11/21/2015,,AIM KS6009,,,Parts jamming at St#1,Loose lock nut on right side of load shuttle tensioned
11/21/2015,,I5,,,Hydraulic leak at position 22A on hydraulic distributor,Hose replaced with hose from inventory
11/23/2015,,Deco 1,,,Alarm; Headstock not going home every 15-20 min,Headstock was replaced on 11/20; Operator requesting Z1 referencing. Data not being being accepted by PLC. Denis called Roland Schutz at Tornos Tech and altered a parameter setting (unknown) to get the PLC to accept the position data.
11/23/2015,,H11,,,Oil leaking from rear of brushing unit,Rebuilt R A cylinder
11/23/2015,,H27,,,Bar loader chain broken,Repaired
11/23/2015,,H28,,,Parts counter INOP,Parts ordered and arrived 12/4; Installed
11/23/2015,,H36,,,CNC unit failing to fire,Replaced power supply; Warrantied part. New part being sent from Hydromat 11/24
11/23/2015,,Mikron,,,Multiple alarms won't clear,Assessed by Roland and Steve A;  Alarms cleared on Wed morning by Pete
11/23/2015,,Tsch 1,,,Multiple alarms,Machine lost all memory when power to bldg was shut down 11/22. Called in Fanuc service on 11/25 after two days without running and having loaded Tsch 2 programming which IS NOT IDENTICAL. Fanuc team had a back up program from a prior service call which allowd the machine to run.
11/23/2015,,Tsch 2,,,2024 Frequency converter B Alarm,Service tech from RT Engineering called in (Ray Metivier) found water in motor connection; Cleared and online
11/24/2015,,AIM 14,,,Loader not completing cycle,Minor adjustment to Load Shuttle At Center sensor
11/24/2015,,AIM C43,,,Vision position INOP,Machine was programmed for T7552 while running T7551
11/24/2015,,FPI,,,Marine door seal leaking / Leak from seal on basket shaft RHE,Parts received 12/9; Installed
11/24/2015,,H16,,,Wash conveyor jammed,Removed part jammed at entry roller
11/24/2015,,H16,,,Accumulator check,Both low; Charged to LP 30bar / Charged HP to 50bar
11/24/2015,,H19,,,Replacement XD hear requested,Issued a replacement XD head; Unit removed to be rebuilt
11/24/2015,,H2,,,Bearing assessment of Top XD unit,No issue
11/24/2015,,H27,,,Loose seal on St#12 spindle,Replaced seal
11/24/2015,,H28,,,Hyd leak and power pack noise reported,Repaired leaks under machine base / Replaced solenoid on power pack
11/25/2015,,H19,,,Robot brushing motor INOP,Retrieved motor from spare automation at Induplate and installed
11/25/2015,,H25,,,Conveyor faults; breaker tripping,Replaced fuse
11/25/2015,,H27,,,,Repaired leak on power pack valve stack
11/25/2015,,H4,,,Leaking cutting oil,Coolant pump impellor housing replaced
11/25/2015,,H5,,,Accumulator check,At 10bar;  charged to 30bar
11/25/2015,,H7,,,24 volt power INOP,Replaced fuse
11/30/2015,,AIM #4,,,Station 7A lift cylinder stuck at table index,Moved table by hand to free lift cylinder
11/30/2015,,AIM #4,,,Station 7B not rotating,Regulator for clamping cylinder was not locked and set quite high.  When I lowered the clamping pressure the cylinder didn't extend. I added some air tool oil to the line and exercised the cylinder a couple of times.
11/30/2015,,H10,,,Machine will not stay ON,Took a while reviewing wiring in the electrical cabinet. Tony involved at 1330 and traced short to a broken wire on drill detector sensor; Repaired
11/30/2015,,H10,,,Spindle moves required for H8900 setup,Completed
11/30/2015,,H14,,,Bar loader INOP; will not move in Auto,Replaced broken prox on loader valve
11/30/2015,,H19,,,Bad solenoid coil on loading valve,Replaced
11/30/2015,,H23,,,Base cleaning requested; Oil lines clogging,Completed ; Opers running tank too low reported
11/30/2015,,H27,,,Table index prox cables falling out of sensor,Repaired wire pulled from connection
11/30/2015,,H34,,,Bar loading sequence out of sync; want to load with good bar length remaining,Replaced bad proximity switch
11/30/2015,,H36,,,Cut off unit will not move,Removed saw head and found gearing had disintegrated due to no gear oil being present. Appears to have been shipped this way from Hydromat. 
11/30/2015,,H5,,,Stripped bleeder valve screw on St#4 36/100 spindle,Replaced
11/30/2015,,Reclaim,,,"Oil reclaim: Tank not draining during ""Empty"" cycle.","Removed breather plug from pump and opened drain valve, no oil flow noted. Drain line was clogged. It took some time but Brian and I got the line clear using a snake and an air gun"
11/30/2015,,Sinico,,,Front clamp not closing causing delay and machine to stop,Hydraulic oil replaced along with both intake filters; Cause was heavy sludge on main intake filter
12/1/2015,,H1,,,Loader not functioning properly  (??) no details,Repaired; Air tool oil added
12/1/2015,,H17,,,St#4 spindle leaking hydraulic fluid from rear of spindle,Removed back end of spindle and repaced all seals
12/1/2015,,H23,,,Bar feeder has multiple broken screws on magazine tray,Repaired
12/1/2015,,H24 ,,,Check and charge accumulators,Checked and charged; Machine was offline for inverter issues
12/1/2015,,I3,,,Power supply module alarm,Loose cable connection to drive
12/1/2015,,NM 1,,,Bar gripper clamp (on loader) spring broken,Repaired; VERY MUCH OPERATOR LEVEL !!
12/1/2015,,Sinico,,,Clamping system not functioning properly; out of sync and delayed,Replaced hydraulic filters; Resolve ended up being a clogged main intake filter for the hydraulic pump NOTE- This machine has two hyd pumps and two filters.
12/1/2015,,T98,,,Remove damaged stock tube liner,Removed
12/2/2015,,ES5,,,Steps and OAL variation reported by operator; Removal of headstock requested,Head removed and cleaned thoroughly. Found cam action spring binding on one tool station. Removed spring and cleaned up burring on spring OD; Reset and reinstalled
12/2/2015,,H1,,,Accumulator check; Bad concentricity TRW piston,At 27bar; Charged to 30bar   No issue
12/2/2015,,H29,,,St#3 bearings worn; Assessed by Marcel as worn,Bearings and seals replaced
12/2/2015,,H29,,,Assess St#3 spindle bearings,Bearings bad; removed spindle and replaced bearings
12/2/2015,,H38,,,Assess cut off unit; Saws being changed 3x per day,Bad stock clamp; Bars spinning in clamp while being cut; OPERATOR SHOULD BE AWARE OF THIS AND CHECKED FIRST!
12/2/2015,,I5,,,Iemca track #2 broken ,Replaced track  
12/2/2015,,NM 2,,,Broken air cylinder on bar loader,Replaced broken fitting between filter and lubricator on FRL
12/2/2015,,RM221,,,Drive belt broken,Replaced belt; 3X655G
12/2/2015,,SC7,,,Feed stroke lever has worn pivot bolt hole,Replaced Feed stroke Lever and set stroke
12/2/2015,,T99,,,Base cleaning requested,Completed
12/2/2015,,TK3,,,Coolant hose ruptured,Replaced hose
12/2/2015,,Tsch 1,,,Base cleaning requested,Completed
