Conveyor to parts washer INOP,Adjusted 'slide home' sensor,conveyor/ part_washer,inoperable,adjust,sensor/ slide_home_sensor,,H16,Y,7/29/15,,7/29/15,,RES,SA,Steve Andreozzi,,conveyor/ sensor/ part/ slide,,inoperable,adjust,home,
Chip conveyor constantly jamming,Replaced broken disc on clutch drive -JPM reports there is a worn hole in the base where the belt begins the incline. No leak as the hole is on a welded plate inside the tank.,chip_conveyor/ conveyor,jam,replace,disc/ clutch_drive,,H27,N,7/29/15,,7/29/15,,J Con,JPM,John Murray,,conveyor/ chip/ base/ belt/ clutch/ tank/ disc/ plate/ person,,broken/ leak/ worn,replace/ report/ weld,drive,
Bar feeder consitantly binding / jamming,Monitoring but only stopped once in 4 hours. Not addressed beyond monitoring.,bar_feeder/ bar,jam,monitor,,,H28,N,7/29/15,,7/29/15,,J Con,JPM,John Murray,,feeder,,,,bar/ stop,hours
Loader INOP,Replaced lifting piston with new piston (arrived 7/28 UPS),,,,,,H7,Y,7/29/15,,7/29/15,,Bruce,JPM,John Murray,,loader/ piston,,inoperable,replace,new,
Control parts ejection faults,Replaced air solenoid,,,,,,SC1,Y,7/29/15,,7/29/15,,Sam,SA,Steve Andreozzi,,part/ air/ solenoid,,fault,replace,control,
Broken parts catcher basket,Rewelded and returned,,,,,,SC2,Y,7/29/15,,7/29/15,,J Con,MLW,Mike Lowell,,part/ catcher/ basket,,broken,return/ weld,,
Control parts ejection faults,Replaced ruptured airline -Operator level,,,,,,SC7,Y,7/29/15,,7/29/15,,Sam,SA,Steve Andreozzi,,operator/ part,air_line,fault/ rupture,replace,control/ level,
St#2 leaking hydraulic oil -2nd /shift,Replaced flow control valve on St#2 spindle valve,hydraulic/ st_2,leak,replace,valve/ flow_control/ spindle,,H8,N,7/29/15,,7/30/15,,Russ,JPM,John Murray,,station/ spindle/ valve/ hydraulic/ oil/ flow,,leak,replace,control/ shift,
Longer parts exit chute requested,Issued,,,,,,H7,N,7/29/15,,7/31/15,,Gio,JPG,Jerry,,part/ chute,,,request,,
Air hose leaking on main spindle,Replaced,,,replace,,,Deco 2,Y,7/30/15,,7/30/15,,JPG,JC,Jon Cousineau,,spindle/ air/ hose,,leak,replace,main,
Check/ Charge / and Tag Accumulator,Both charged HP 15bar to 50bar / LP 25bar to 30bar,accumulator/ pressure/ low_pressure/ high_pressure,check/ charge/ tag/ low,charge,accumulator/ high_pressure/ low_pressure,,H16,Y,7/30/15,,7/30/15,,J Con,CD,Colin Doherty,,accumulator/ low_pressure,30bar,,check/ charge/ tag,hp/ 50bar/ 25bar,
Check/ Charge / and Tag Accumulator -Table dropping parts,Both HP and LP OK -LP at 30bar/ HP at 50bar.,accumulator/ table,check/ charge/ tag/ drop_part,no_problem_detected,,,H33,N,7/30/15,,7/30/15,,J Con,CD,Colin Doherty,,accumulator/ table/ part/ low_pressure,30bar,drop,check/ charge/ ok/ tag,hp/ 50bar,
Vogel system faults -no pressure,Bad utility plug connection -Swapped to another connection.,,,,,,H36,Y,7/30/15,,7/30/15,,Bruce,Gerry,Gerry Desmarais,,pressure/ vogel/ connector,,broken/ fault,swap,plug,
Replace saw head -low tool life,Saw blade found cutting past the bar dia. -Reset saw stroke -Operator level,saw_head/ saw/ operator,short_life/ error,reset,saw_stroke/ saw,,H5,N,7/30/15,,7/30/15,,J Con,JPM,John Murray,,operator/ head/ tool/ saw/ stroke,,,replace/ reset,bar/ level/ low/ cutting,
Clean base -coolant sticky,Cleaned and removed sludge from bottom of 50 micron filter housing.,,,,,,I1,N,7/30/15,,7/30/15,,JPG,LC,Lyle Cookson,,coolant/ base/ filter/ housing,,,remove/ clean,,
Plunger St# (?) fell apart,Repaired,,,repair,,,AIM T7091,y,7/31/15,,7/31/15,,RES,SA,Steve Andreozzi,,station,,,repair,,
St#10 not cycling every time,Charged accumulators and replaced bladder in HP Acc -Charged to 50bar,st 10,will_not_cycle,charge/ replace,accumulator/ bladder/ high_pressure,,H16,Y,7/31/15,,7/31/15,,RUSS,SA,Steve Andreozzi,,station/ accumulator/ bladder,,,replace/ charge,hp/ 10/ 50bar/ time,
Table indexing faults,Tightened the lucifer valve on table indexing valve -Operator level,table_index/ table,fault,,,,H34,Y,7/31/15,,7/31/15,,RES,SA,Steve Andreozzi,,valve/ table/ operator/ index,,fault,tighten,level,
Locking screw in HSK32 adapter stripped,Removed,,,remove,,,Hydro,,7/31/15,,7/31/15,,Russ,SA,Steve Andreozzi,,screw,,strip,remove,locking,
Bar change occurs out of sequence,Cleaned stop slide,bar_change/ bar,out_of_sequence,clean,stop_slide,,H30,N,8/3/15,,8/3/15,,RES,SA,Steve Andreozzi,,slide,,,clean,bar/ stop/ change,
Bar change occurs out of sequence,Replaced dog pusher with wider pusher,bar_change/ bar,out_of_sequence,replace,dog_push,,H33,N,8/3/15,,8/3/15,,RES,SA,Steve Andreozzi,,pusher/ dog,,,replace,bar/ change,
Iemca Hyd filter alarm,Replaced Hyd filter -Operator level,iemca/ hydraulic/ filter,alarm,replace,hydraulic/ filter,,I17,Y,8/3/15,,8/3/15,,Norm,JC,Jon Cousineau,,hydraulic/ operator/ iemca/ filter,,alarm,replace,level,
Air pressure faults,Repaired two leaks but air is still leaking -fault will not clear,,,,,,I5,Y,8/3/15,,8/3/15,,RES,CD,Colin Doherty,,pressure/ air,,leak/ fault,repair/ clear,,
Regulating wheel stops,Tightened belt -No oper to confirm as OK to run,,,,,,RM225,Y,8/3/15,,8/3/15,,J Con,SA,Steve Andreozzi,,operator/ belt/ wheel,,,ok/ tighten,running/ stop/ regulating,
Leaking solenoid valve,Replaced O-Ring on mounting end of valve,,,,,,Sinico,N,8/3/15,,8/3/15,,J Con,JC,Jon Cousineau,,valve/ solenoid/ ring,,leak,replace,end/ mounting,
Nachine running with clip in PERMIT RUN,Replaced relay 3CR,,,,,,A78,N,8/4/15,,8/4/15,,Jose,SA,Steve Andreozzi,,machine/ relay,,,replace,running,
Table incdexing issues,Tightened the table down sensor,table_index,fault,tighten,table_down_sensor,,H34,Y,8/4/15,,8/4/15,,RES,SA,Steve Andreozzi,,table/ sensor/ index,,issue,tighten,,
Install light cover,Installed,,,install,,,H38,N,8/4/15,,8/4/15,,JPG,CD,Colin Doherty,,light/ cover,,,install,,
Machine will not complete cycle,Adjusted 'loader shuttle forward' sensor,,,,,,H7,Y,8/4/15,,8/4/15,,RES,SA,Steve Andreozzi,,sensor/ machine/ loader,,,complete/ adjust,forward/ cycle,
Accumulator check,Was ok at 30bar,accumulator,check ,no_problem_detected,,,H7,Y,8/4/15,,8/4/15,,RES,SA,Steve Andreozzi,,accumulator,30bar,,check/ ok,,
Marks on OD of parts,Polished jaws-Operator Level,,,,,,I5,Y,8/4/15,,8/4/15,,,SA,Steve Andreozzi,,operator/ part,,,,level,
Bar feed INOP -Air pressure faults,Replaced air pressure switch on Iemca,bar_feed/ pressure/ bar/ lemca,inoperable/ fault,replace,air_pressure_switch/ switch/ pressure,,I5,Y,8/4/15,,8/4/15,,Bruce,JC,Jon Cousineau,,pressure/ iemca/ air,,inoperable/ fault,replace,bar/ switch/ feed,
PM report of hydraulic leaks,Two hyd return lines RE connected / ST#4 vertcal leaking from back end of spindle drive housing -Very minor leak not warranting shut down at this time.,hydraulic,leak/ minor,reconnect,hydraulic/ line,,H8,N,8/4/15,,8/5/15,,J Con,JPM,John Murray,,station/ spindle/ hydraulic/ housing/ vertical,,leak,report,drive/ end/ returning/ shut/ time,
Chip conveyor jammed,Cleared by hand crank / Broken clutch discs replaced,chip_conveyor/ conveyor,jam,clear/ replace/ hand_crank/ crank,clutch_disc,,I2,N,8/4/15,,8/6/15,,Bruce,CD,Colin Doherty,,conveyor/ chip/ clutch/ disc,,broken/ jam,replace/ clear,,
Chip conveyor jammed,Replaced missing bolt on scraping paddle,chip_conveyor/ conveyor/ bolt,jam/ missing,replace,bolt/ scraping_paddle,,H11,Y,8/5/15,,8/5/15,,RES,SA,Steve Andreozzi,,conveyor/ chip/ bolt,,jam/ missing,replace,,
Drill Detector St#2 INOP,Stroke not set properly -Operator level,,,,,,H14,N,8/5/15,,8/5/15,,Russ,JPM,John Murray,,station/ operator/ drill/ detector/ stroke,,inoperable,set,level,
St#10 HSK clamping screw pocket stripped,Removed and replaced,,,remove/ replace,,,H33,N,8/5/15,,8/5/15,,Alex,SA,Steve Andreozzi,,station/ screw/ clamp,,strip,replace/ remove,10/ hsk,
Brushing unit stuck forward,Unit was never greased per PM? Greased and online,brush_unit/ brush/ unit,stuck_forward,grease,unit,,H35,Y,8/5/15,,8/5/15,,Bruce,JPM,John Murray,,unit/ brush,,stuck,,forward/ online,
Inverter errors,Reset prox sensor,inverter,fault,reset,proximity_sensor,,H5,Y,8/5/15,,8/5/15,,Bruce,JPM,John Murray,,sensor/ prox/ inverter,,,reset,,
Side A turret not holding dimension,Removed both A and B side turrets. Cleaned of chips and reinstalled,,,,,,I1,Y,8/5/15,,8/5/15,,Norm,CD,Colin Doherty,,chip/ turret,,,remove/ install/ clean,,
Operator brought jaws for polishing,Polished -Operator Level,,,,,,I5,Y,8/5/15,,8/5/15,,,SA,Steve Andreozzi,,operator,,,,level,
Operator GC reporting OAL variation resulting from bad Z1 ball screw,Checked for ball screw variation as directed by Gosiger technician. Found NO issue with Z1 or Z2 ball screws. Reviewed tooling process with operator GC to focus attention on potential cause. Replaced Sub spindle collet and cured OAL issue.,,,,,,NM2,Y,8/5/15,,8/5/15,,JPG,JC / JPG,Jon Cousineau/ Jerry,,spindle/ screw/ operator/ collet/ ball,,broken/ issue,replace/ check,,
Feed bowl INOP,Replaced fuse,,,replace,fuse,,RM223,Y,8/5/15,,8/5/15,,RES,SA,Steve Andreozzi,,fuse/ bowl,,inoperable,replace,feed,
Front side collector tube damaged,Reapaired and returned to operator for install,,,,,,Sinico,Y,8/5/15,,8/5/15,,Jose,JC,Jon Cousineau,,operator/ tube/ collector,,broken,repair/ install/ return,,
HP Flow rate alarms,Adjust air pressure on HP system regulator,,,,,,SC5,Y,8/5/15,,8/6/15,,Bruce,JC,Jon Cousineau,,pressure/ air/ flow,,alarm,adjust,hp,
No coolant flow Side A main line -Turrets OK,Blew out coolant lines and replaced 50 micron filter -Oper using wrong station # to confirm coolant flow. Checked with Norm N. OK,,,,,,I6,Y,8/5/15,,8/8/15,,Dly,MLW,Mike Lowell,,station/ coolant/ operator/ turret/ line/ filter/ flow,,,replace/ check/ ok,main,
Sp#6 cross drill head bearings worn,,,,no_action_taken,,,H2,N,8/5/15,,,,RES,,,,spindle/ bearing/ head/ drill/ cross,,worn,,,
Machine will not feed,Machine polarity was reversed when reinstalled after machine relocation -Mike inquired (Haruna) if rotation was correct after wiring -Told yes. Polarity swapped -Online,,,,,,A76,Y,8/6/15,,8/6/15,,Jose,MLW,Mike Lowell,,machine/ wire,,,install/ swap/ correct,feed/ online,
Brush unit motor falling off unit,Bolted back in place -Operator level,brush_unit/ motor/ operator,out_of_adjustment/ location/ error,bolt/ train,brush_unit/ motor/ operator,,H14,Y,8/6/15,,8/6/15,,Russ,JMC,Jon Cousineau,,unit/ motor/ operator/ brush,fall,,,level/ fall,
Unload automation not returning,,,,no_action_taken,,,H18,Y,8/6/15,,8/6/15,,RES,SA,Steve Andreozzi,,,,,,returning,
Spindle #11 seized,Replaced bearings -Online by 1100,,,,,,H19,y,8/6/15,,8/6/15,,Bruce,JPM,John Murray,,spindle/ bearing,,seize,replace,11/ online,
IR Scan Item #7 -Over heating bridge rectifier,Cleaned and reconnected,,,,,,H12,N,8/6/15,,8/7/15,,JPG,SA,Steve Andreozzi,,,,,clean,,
Major hydraulic leak Side B,Broken Hyd return line found under side B upper casting. Replaced / Hyd filters replaced. Base drained and refilled fresh,hydraulic/ hydraulic_return_line/ return_line,leak/ major/ side_b,replace/ drain/ refill, return_line/ hydraulic/ filter/ base/ line,,I6,Y,8/6/15,,8/7/15,,Bruce,MLW / JC,Mike Lowell,,hydraulic/ base/ line/ filter,drain,broken/ leak,replace,returning/ major/ drain,
Tool detector INOP,Back end of wand hitting oil line providing false detection -Shortenned wand,,,,,,H10,N,8/7/15,,8/7/15,,J Con,SA,Steve Andreozzi,,tool/ oil/ line/ detector,,inoperable,,end/ detection,
Check accumulators,Both low -Charged to LP 30bar / Charged HP to 50bar,accumulator,check ,charge,pressure/ low_pressure/ high_pressure,,H23,N,8/7/15,,8/7/15,,Russ,CD,Colin Doherty,,accumulator/ low_pressure,30bar,,check/ charge,hp/ low/ 50bar,
Toot detector falsley shutting down machine,Tightened loose screws on wand hub -operator level,,,,,,H4,Y,8/7/15,,8/7/15,,RES,SA,Steve Andreozzi,,machine/ screw/ operator/ tool/ detector/ hub,,loose,tighten,level,
Air leak at Iemca (top of Iemca),Ran new airline,,,,,,I5,Y,8/7/15,,8/7/15,,Norm,CD,Colin Doherty,,iemca/ air,air_line,leak,,new/ run,
HP coolant pump INOP,No issue found when operator instructed to turn on TK,,,,,,TK3,Y,8/7/15,,8/8/15,,Bruce,JPG,Jerry,,coolant/ pump/ operator,,inoperable/ issue,,hp/ turn,
Hydraulic leak at rear of Iemca,Ruptured hose replaced / Loading arm In/Out cylinder INOP. Borrowed from SC4,hydraulic/ lemca/ rear/ hose/ loading_arm_in_out_cylinder,leak/ rupture/ inoperable,replace,hydraulic/ hose,,I5,Y,8/8/15,,8/11/15,,Norm,JC,Jon Cousineau,,hydraulic/ iemca/ hose/ cylinder/ rear,,inoperable/ leak/ rupture,replace,load,
Dreher covers,Replaced liners on 4 covers,,,,,,Dreher,N,8/11/15,,8/11/15,,Mike C,SA,Steve Andreozzi,,cover,,,replace,,
St# 2/ 5/ and 11 require flange modification to accommodate offset spindles in process,Modified,st_2/ st_5/ st_11/ flange/ spindle,modify,complete,,,H3,,8/11/15,,8/11/15,,Clark,JPM,John Murray,,station/ spindle/ flange,,,require,11,
Inverter rebuild,Rebuilt,inverter,rebuild,rebuild,inverter,,H32,Y,8/11/15,,8/11/15,,J Con,JPM,John Murray,,inverter,,,rebuild,,
No coolant to tooling area,Cleared fault on Knoll conveyor,coolant,missing,clear,fault/ knoll_conveyor,,I19,Y,8/11/15,,8/11/15,,Norm,JC / Doug,Jon Cousineau/ Doug Patrick,,coolant/ conveyor,,fault,clear,,
Low coolant alarm,Float switch stuck in coolant tank -freed,,,,,,NM1,Y,8/11/15,,8/11/15,,Norm,JC,Jon Cousineau,,coolant/ tank,,alarm/ stuck,,switch/ low,
Cut Off 'Shelter' Switch alarm,Replaced micro switch on chip shield,,,,,,Sinico,Y,8/11/15,,8/11/15,,Jose,JC,Jon Cousineau,,chip,,alarm,replace,switch/ cut,
Noise coming from grinding zone,Nakry increased grinding wheel RPM to 3000 -Noise/Vibration gone,,,,,,Tsch 1,N,8/11/15,,8/11/15,,Orlando,,,,wheel,,noise,,,
St#9 brush unit INOP,Lead screw thread repair / Return prox sensor adjusted,st_9/ brush_unit,inoperable,repair/ adjust,lead_screw/ return_proximity_sensor/ proximity_sensor,,H25,Y,8/11/15,,8/12/15,,Bruce,JPM,John Murray,,station/ unit/ sensor/ screw/ prox/ brush/ thread/ lead,,inoperable,repair/ adjust,returning,
Cross drill unit bearings worn,replaced XD head with inventory unit,,,,,,H12,N,8/12/15,,8/12/15,,Gio,JPM,John Murray,,unit/ bearing/ head/ drill/ cross_drill/ cross/ inventory,,worn,replace,,
St #9 brush unit jammed,Repaired damaged lead screw and replaced deoth of stroke proximity switch,st_9/ brush_unit/ lead_screw/ screw,jam/ broken,repair,lead_screw/ depth_of_stroke_proximity_switch/ proximity_sensor,,H25,Y,8/12/15,,8/12/15,,Bruce,JPM,John Murray,,station/ unit/ screw/ prox/ brush/ lead/ stroke,,broken/ jam,replace/ repair,switch,
Side B transport slide binding,Transport chain repaired,,,,,,I3,Y,8/12/15,,8/12/15,,Bruce,JC,Jon Cousineau,,chain/ slide,,,repair,transport,
Side B turret -Chips?,Bronze ring replaced / Coolant port replaced,,,,,,I4,Y,8/12/15,,8/12/15,,Bruce,JC/DK/DY,Denis Kusiak/ Jon Cousineau,,coolant/ chip/ turret/ ring,,,replace,,
Side B turret coolant leak,Removed turret and freed spring loaded seal that was stuck,,,,,,I4,Y,8/12/15,,8/12/15,,RES,SA,Steve Andreozzi,,coolant/ turret,,leak/ stuck,remove,seal,
Missing bushing for clamp jaw retaining bolt,Fabricated replacement,,,,,,Sinico,Y,8/12/15,,8/12/15,,Jose,DK,Denis Kusiak,,clamp/ bolt/ replacement,,missing,,,
Running with clip / counter INOP,Replaced cam roller switch,,,,,,A75,Y,8/12/15,,8/13/15,,J Con,SA,Steve Andreozzi,,counter,,inoperable,replace,switch/ running,
Blocked coolanr line,Assited operator in clearing blockage.,,,,,,H15,Y,8/13/15,,8/13/15,,RES,SA,Steve Andreozzi,,coolant/ operator/ line,,,,,
Chip conveyor faults / Clutch loose,Replaced clutch,chip_conveyor/ conveyor/ clutch,fault/ loose,repair,clutch,,H16,N,8/13/15,,8/13/15,,Bob,JPM,John Murray,,conveyor/ chip/ clutch,,fault/ loose,replace,,
Conveyor clutch INOP,Replaced broken discs on clutch,conveyor/ clutch,inoperable,replace,disc/ clutch,,H27,Y,8/13/15,,8/13/15,,Alex,JPM,John Murray,,conveyor/ clutch/ disc,,broken/ inoperable,replace,,
Hydraulic leak,Replaced fittings,hydraulic,leak,replace,fitting,,I6,Y,8/13/15,,8/13/15,,JW,JC,Jon Cousineau,,hydraulic/ fitting,,leak,replace,,
Lube oil empty,Float switch stuck in coolant tank -Operator Level,,,,,,NM1,Y,8/13/15,,8/13/15,,RES,SA,Steve Andreozzi,,coolant/ operator/ oil/ tank/ lubrication,lubrication,stuck,,switch/ level,
Broken collet in housing #9,Removed housing to extract broken collet,,,,,,H8,Y,8/13/15,,8/14/15,,Bruce,JPM,John Murray,,collet/ housing,,broken,remove,,
Replaced bad roller switch,completed,,,complete,,,A75,Y,8/14/15,,8/14/15,,JPG,SA,Steve Andreozzi,,,,broken,replace/ complete,switch,
Parts tracking INOP,No issue -Operator hand loaded a part into inverter position and confuded the machine,part_tracking/ operator,inoperable/ error,no_problem_detected/ train,operator,,H14,Y,8/14/15,,8/14/15,,Bruce,JPM,John Murray,,machine/ operator/ part/ inverter/ position,,inoperable/ issue,,track,
Brush unit stuck forward,Unit wound in too far -reset,brush_unit/ brush/ unit,stuck_forward/ out_of_adjustment/ location,reset,unit,,H14,Y,8/14/15,,8/14/15,,J Con,JPM,John Murray,,unit/ brush,,stuck,reset,forward,
LP Accumulator dropping 20+ bar / HP gage INOP,Charged LP Accumulator / Gage ??,accumulator/ low_pressure/ high_pressure/ gage,charge/ inoperable,charge,accumulator,,H15,N,8/14/15,,8/14/15,,Bob,SA,Steve Andreozzi,,accumulator/ low_pressure,,inoperable/ drop,charge,bar/ hp/ 20,
Check/ charge/ accumulators,Checked all charged 1,accumulator,check/ charge,charge,accumulator,,H16,Y,8/14/15,,8/14/15,,Clark,SA,Steve Andreozzi,,accumulator,,,check/ charge,,
Bar feeding limit switch INOP,Replaced,bar_feeding/ limit_switch/ bar,inoperable,replace,bar_feeding/ limit_switch,,H24,Y,8/14/15,,8/14/15,,RES,SA,Steve Andreozzi,,,,inoperable,replace,bar/ switch/ limit/ feeding,
Collet will not open at inver position,Replaced collet open solenoid -was sticking,,,,,,H35,Y,8/14/15,,8/14/15,,Alex,JPM,John Murray,,inverter/ collet/ position/ solenoid,,stick,replace,open,
Install chip stripper at St#2,Modified spindle retainer and installed,,,,,,H8,N,8/14/15,,8/14/15,,ENG,JPM,John Murray,,station/ spindle/ chip,,,install,,
Replace battery' fault,Replaced,,,replace,,,I2,N,8/14/15,,8/14/15,,JW,JPG,Jerry,,,,fault,replace,,
side B transport INOP,No issue found again when looked at,,,,,,I3,Y,8/14/15,,8/14/15,,Norm,JC,Jon Cousineau,,,,inoperable/ issue,,transport,
Broken wire on facing travel flag,Replaced sensor cable,,,,,,SC3,Y,8/14/15,,8/14/15,,Gary F,SA,Steve Andreozzi,,sensor/ cable/ wire/ flag,,broken,replace,travel/ facing,
Install chip stripper at St#2,Modified spindle retainer and installed,,,,,,H15,N,8/14/15,,8/15/15,,ENG,JPM,John Murray,,station/ spindle/ chip,,,install,,
Bar loader INOP / Over travel alarm,Main spindle drive belt Too Tight / Guide bushing TOO Tight -Operator Level,bar_loader/ bar/ spindle_drive/ belt/ guide_bushing/ bushing/ operator,inoperable/ alarm/ over_travel/ tight/ error,train,operator,,Deco 1,y,8/14/15,,8/17/15,,J Con,TECH,Technician,,spindle/ operator/ loader/ belt/ guide,,inoperable/ alarm,,bar/ drive/ level/ main/ travel,
Overheat alram / Spindle lock alarm overload tripped,Part stuck in channel 2 spindle -Operator level,,,,,,Deco 2,y,8/15/15,,8/15/15,,Clark,JC,Jon Cousineau,,spindle/ operator/ channel,trip,alarm/ stuck/ overload/ trip,,level/ lock,
Check Chip conveyor clutch -failing,Clutch replaced,chip_conveyor/ conveyor,fault,replace,clutch,,H23,N,8/15/15,,8/15/15,,Clark,JPM,John Murray,,conveyor/ chip/ clutch,,fail,replace/ check,,
Bar loader keeps stopping,Replaced pusher dog -Operator level,bar_loader/ operator/ bar,stop/ error,replace/ train,pusher_dog/ operator,,H38,N,8/15/15,,8/15/15,,Clark,JPM,John Murray,,operator/ loader/ pusher/ dog,,,replace,bar/ level/ stop,
No coolant to coolant lones,Replaced broken coolant pump impeller,,,,,,H22,Y,8/15/15,,8/17/15,,Clark,Gerry,Gerry Desmarais,,coolant/ pump,,broken,replace,,
Swap scaffold with H38,Completed,,,complete,,,H3,N,8/15/15,,8/17/15,,JPG,JPM,John Murray,,,,,complete/ swap,,
Major hydraulic leak from rear of inverter,Replaced O-Rings and proximity sensor that was found faulty,hydraulic/ inverter/ proximity sensor ,leak/ major/ faulty,replace,o_ring,,H36,Y,8/15/15,,8/17/15,,Clark,JPM,John Murray,,hydraulic/ sensor/ prox/ inverter/ rear/ ring,,leak/ fault,replace,major,
Iemca INOP -Controller issue,Swapped controller with I20 and online -new controller ordered as backup / NOTE: The controller from I18 was installed in I20 and was operable (??),,,,,,I18,Y,8/15/15,,8/18/15,,Clark,DK,Denis Kusiak,,iemca/ controller,,inoperable/ issue,install/ swap/ order,new/ online,
Check accumulators,Checked again (was also done 8/14) all OK,accumulator,check ,no_problem_detected,,,H16,Y,8/17/15,,8/17/15,,Russ,CD,Colin Doherty,,accumulator,,,check/ ok,14,
Grate and screen needed for drip pan,Completed,,,complete,,,H3,N,8/17/15,,8/17/15,,JPG,CD,Colin Doherty,,screen,,,complete/ need,,
Iemca air leak,Replaced ruptured air line -7 hours!!,,,,,,I5,Y,8/17/15,,8/17/15,,Clark,DK,Denis Kusiak,,iemca/ air/ line,,leak/ rupture,replace,,hours
Hydraulic Leak,Ruptured hydraulic hose replaced,hydraulic/ hose,leak/ rupture,replace,hydraulic/ hose,,RM225,Y,8/17/15,,8/17/15,,Orlando,MLW,Mike Lowell,,hydraulic/ hose,,leak/ rupture,replace,,
Chamfer unit 2 INOP,Replaced drive belt,,,replace,drive_belt/ belt/ drive,,Sinico,Y,8/17/15,,8/17/15,,Clark,DK,Denis Kusiak,,unit/ belt/ chamfer,,inoperable,replace,drive,
Service filtermist,Filter replaced,filtermist,service ,,,,TR2,N,8/17/15,,8/19/15,,RG,CD,Colin Doherty,,filter,,,replace,,
Major coolant leak from base,Replaced coolant skirt again,,,,,,H11,N,8/17/15,,8/20/15,,Clark,JPM,John Murray,,coolant/ base,,leak,replace,major,
Counter INOP,Broken wire to relay repaired.,counter,inoperable,,,,A78,N,8/18/15,,8/18/15,,Jose,SA,Steve Andreozzi,,wire/ counter/ relay,,broken/ inoperable,repair,,
Station #10 not cycling every time,Replaced filters in power pack,,,,,,H16,Y,8/18/15,,8/18/15,,Russ,JPM,John Murray,,station/ filter,,,replace,power/ 10/ pack/ time,
Machine not recognizing bar end -Cannot reset,Adjusted chain rail for full contact with switches,machine,will_not_recognize_bar,adjust,chain_rail,,H24,Y,8/18/15,,8/18/15,,Russ,JPM,John Murray,,machine/ chain,,,adjust/ reset,bar/ end,
Oil leaki at Vogel pressure gage,Repaired,,,repair,,,H4,N,8/18/15,,8/18/15,,Russ,SA,Steve Andreozzi,,pressure/ oil/ vogel,,leak,repair,,
Parts separator INOP,Motor was loose and retensioned / replaced motor shaft key / Running backwards -Polarity swapped,,,,,,Prab,Y,8/18/15,,8/18/15,,JPG,CD / SA,Colin Doherty/ Steve Andreozzi,,motor/ part/ shaft/ key,tension,inoperable/ loose,replace/ swap/ tension,running,
PO clutch rebuild needed,Rebuilt and returned to Prod,,,,,,SC2,Y,8/18/15,,8/18/15,,SS,JC,Jon Cousineau,,clutch,,,rebuild/ need/ return,,
Install 36/100 resess spindle at St#7 for KS6021 Set up,Completed,,,complete,,,H36,,8/18/15,,8/19/15,,JPG,JPM,John Murray,,station/ spindle,,,complete/ install/ set,,
Spindle #6 HSK clamp damaged by operator using the wrong tool to remove tool head,Removed spindle to extract and replace HSK clamp -Return to Prod at 0645,,,,,,H6,Y,8/18/15,,8/19/15,,RES,JPM,John Murray,,spindle/ operator/ head/ clamp/ tool,,broken,replace/ remove,returning/ hsk,
Drive Fault -Performance module diagnosed as BAD,Performance module replaced -Main issue was fried cable connection that shorted the turret motor. Replaced with Motor we had in inventory along with new cable.,,,,,,I3,Y,8/18/15,,8/20/15,,J Con,SA / DK,Steve Andreozzi/ Denis Kusiak,,motor/ cable/ turret/ connector/ module/ inventory,,broken/ fault/ issue,replace,new/ drive/ main/ performance,
Left side oil skimmer INOP,Replaced skimmer (??),,,,,,FPI,N,8/18/15,,8/21/15,,JPG,CD,Colin Doherty,,oil,,inoperable,replace,left,
No Power,Replace blown fuse -Replaced seized conveyor motor that was blowing fuses.,motor,no_power,replace,fuse/ conveyor/ motor,,A67,Y,8/19/15,,8/19/15,,Jose,JC,Jon Cousineau,,motor/ conveyor/ fuse,,blown/ seize,replace,power,
Contactor overload fault,No overload fault found -Operator(s) kicked connection loose! -Operator Level,,,,,,H11,Y,8/19/15,,8/19/15,,Russ,SA,Steve Andreozzi,,operator/ contactor/ connector,,fault/ loose/ overload,,level,
Brush unit INOP,Brushing unit jammed forward (Again) Reset and breaker reset,brush_unit/ brush/ unit,inoperable/ jam,reset,breaker/ brush_unit,,H14,Y,8/19/15,,8/19/15,,Russ,JC,Jon Cousineau,,unit/ breaker/ brush,,inoperable/ jam,reset,forward,
Bar end fault again.,Worn trip dog replaced on chain.,bar_end/ bar/ trip_dog,fault/ worn,replace,chain/ trip_dog,,H24,Y,8/19/15,,8/19/15,,Russ,SA,Steve Andreozzi,,chain/ dog,,fault/ worn,replace,bar/ end,
Install side rail RHE scaffold,Completed,,,complete,,,H3,N,8/19/15,,8/19/15,,JPG,CD,Colin Doherty,,,,,complete/ install,,
Replace belts on roof fans,Replaced most but not all ---,,,,,,Maint,N,8/19/15,,8/19/15,,JPG,CD,Colin Doherty,,belt/ fan,,,replace,,
Base clean,Completed,base,clean,complete,base,,T91,Y,8/19/15,,8/19/15,,JPG,LC,Lyle Cookson,,base,,,complete/ clean,,
411 servo alarm / U Axis error,Lubricated and excersized U axis linear bearings / Machine requires full cleaning of interior.,,,,,,Tsch2,Y,8/19/15,,8/19/15,,Orlando,DK,Denis Kusiak,,bearing/ machine/ axis/ servo,,alarm,clean/ require,,
Loading ram INOP,Two drops of air tool oil!! Operator / Lead level,,,,,,H10,Y,8/19/15,,8/21/15,,Gio,SA,Steve Andreozzi,,operator/ air/ tool/ oil/ lead,,inoperable,,level/ load,
