ReqID,ReqDate,ReqTime,MachID,MachLoc,Manufacturer,machtype,Model,machcustomID,machdesc,ProblemID,ProblemDesc,Prob_cause,PreventPMchk,chk_instructions,Repstatus,Repdate,Reptime,Reptech,RepRes
470,5/31/07,1:42:20 PM,12,Dicing Cell,K&S,DICING SAW,982,P0017,SAW #1,612,water filter housing has a pin hole leak,Replaced Seal Plate,FALSE,,,,,,
471,6/1/07,1:19:12 AM,118,Dicing Cell,Disco,Dicing Saw,DAD3220,P0084,Dicing Saw,613,No water to non-contact sensor,"Wrong P#, new request submitted for P083",FALSE,,Under Repair,6/1/07,,Tech 1,Clean & Flush Water Lines & Jets
472,6/1/07,6:47:37 AM,86,Dicing Cell,Disco,Dicing saw,DAD321,P0081,Saw #1,614,saw will not do a setup,Cleaned Strainers / Replace Hose,FALSE,,Under Repair,6/3/07,,Tech 1,Clean Prism
473,6/1/07,8:07:16 AM,85,AMP Area,Other,Other,Other,Other,Other,615,no light or power in fume hood in wet plating lab,Loose Feed Thru,FALSE,,Under Repair,6/5/07,,Tech 1,ckt. Breaker tripped
474,6/1/07,11:26:02 AM,85,Stackbond Cell,Other,Other,Other,Other,Other,616,Assist moving equipment to sputtering lab per layout drawing,Change Bottle,FALSE,,Under Repair,6/5/07,9:50:54 AM,Tech 2,&nbsp;
474,6/1/07,11:26:02 AM,85,Stackbond Cell,Other,Other,Other,Other,Other,616,Assist moving equipment to sputtering lab per layout drawing,Change Bottle,FALSE,,Under Repair,6/5/07,2:34:15 PM,Tech 2,&nbsp;
475,6/1/07,12:17:50 PM,151,Closing Cell,MARCH,PLASMA ETCHER,PX-1000,P0378,PLASMA ETCHER,617,Low oil level,Clean & Flush Water Lines,FALSE,,Under Repair,6/5/07,,Tech 1,Added Oil
476,6/1/07,1:17:52 PM,85,AMP Area,Other,Other,Other,Other,Other,618,Remove this item,Clean & Flush Water Lines,FALSE,,,,,,
477,6/1/07,2:24:15 PM,85,Test Cell,Other,Other,Other,Other,Other,619,Test,Clean & Flush Water Lines,FALSE,,Under Repair,6/1/07,2:24:55 PM,Tech 8,test
478,6/3/07,11:26:25 PM,84,Dicing Cell,DISCO,DICING SAW,DAD361,P0082,SAW #2,620,replace vacuum switch,clean dirt from turntable shroud,FALSE,,Under Repair,6/4/07,,Tech 1,Replaced Vacuum Switch
479,6/4/07,12:36:24 AM,87,Dicing Cell,Disco,Dicing Saw,DAD3220,P0085,Dicing Saw,621,No shower water on saw 6,Added 600ML of Fomblin oil,FALSE,,Under Repair,6/4/07,,Tech 1,Clean & Flush Water Lines / Flow Meter
480,6/4/07,1:45:42 AM,133,Dicing Cell,DISCO,Dicing Saw,DAD321,P0086,Dicing Saw#8,622,No water on non-contact sensor,MBV tank needed changed,FALSE,,Under Repair,6/4/07,,Tech 1,Clean & Flush Water Lines / Jets
481,6/4/07,8:43:00 AM,81,Sputtering Lab,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0045,CHA#1,623,Add nitrogen regulator to nitorgen vent,Clean Strainers,FALSE,,Under Repair,6/14/07,,Tech 1,Installed Regulator
482,6/4/07,8:43:33 AM,82,Sputtering Lab,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0046,CHA#2,624,Add nitrogen regulator to nitrogen vent,duplicate request,FALSE,,Under Repair,6/14/07,,Tech 1,Installed Regulator
483,6/4/07,10:54:40 AM,116,Wiring Cell,Interlab,Rinse Station,MRS/1855,P0044,Rinse Station 003,625,D.I tank needs changed,Replace vacuum pump.,FALSE,,,,,,
484,6/4/07,2:10:18 PM,27,Dicing Cell,K&S,DICING SAW,986-6,P0033,DICING SAW #14,626,still getting dirt from the spindle. spindle needs replaced.,"Power level set too high, adjusted down to 80%",FALSE,,,,,,
485,6/4/07,5:34:41 PM,133,Dicing Cell,DISCO,Dicing Saw,DAD321,P0086,Dicing Saw#8,627,Sensor water is clogged.,Needed 650Ml of vacuum fluid (Fomblin),FALSE,,Under Repair,6/5/07,,Tech 1,Clean & Flush Water Lines / Jets
486,6/4/07,10:57:48 PM,116,Wiring Cell,Interlab,Rinse Station,MRS/1855,P0044,Rinse Station 003,628,Resistivity is too low to use.,Checked / Ok,FALSE,,Under Repair,6/5/07,,Tech 1,No Carbon Tank Hooked To System?
487,6/5/07,9:14:19 AM,133,Dicing Cell,DISCO,Dicing Saw,DAD321,P0086,Dicing Saw#8,629,won't cal sensor,reseat control boards,FALSE,,Under Repair,6/5/07,9:50:31 AM,Tech 2,reteach sensor
488,6/5/07,1:14:59 PM,87,Dicing Cell,Disco,Dicing Saw,DAD3220,P0085,Dicing Saw,630,won't cal sensor,check air supply,FALSE,,Under Repair,6/5/07,2:31:06 PM,Tech 2,teach sensor
489,6/5/07,10:29:16 PM,85,AMP Area,Other,Other,Other,Other,Other,631,"Freezer 1, Amp Area
needs gasket fixed so ice does not build up",Connect airline,FALSE,,Under Repair,6/8/07,,Tech 1,Removed Ice from lid / Tech 9 will order new g
490,6/5/07,10:31:09 PM,85,AMP Area,Other,Other,Other,Other,Other,632,Encapsulator needs latch put on door,duplicate request,FALSE,,Under Repair,6/7/07,,Tech 1,Install Latch
491,6/6/07,10:08:51 PM,114,Wiring Cell,Interlab,Rinse Station,MRS/1855,P0042,Rinse Station 001,633,Water leak at blue water filter casing.,"Made typo in request, will re-submit",FALSE,,Under Repair,6/7/07,,Tech 1,Replaced Filter Housing
492,6/7/07,2:59:12 AM,81,Sputtering Lab,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0045,CHA#1,634,Shutter Drive offline,Solenoid valve for vaccum valve control defective,FALSE,,Under Repair,6/7/07,,Tech 1,Shutter Fell Off
493,6/7/07,4:23:27 AM,86,Dicing Cell,Disco,Dicing saw,DAD321,P0081,Saw #1,635,optical sensor water jet clogged,Checked / Ok,FALSE,,Under Repair,6/7/07,,Tech 1,Clean & Flush Water Lines
494,6/7/07,9:02:52 AM,123,AMP Area,Envirco,Laminar Flow Bench,&nbsp;,P0253,Laminar Flow Bench,636,Not enough air flow through hood,Tuning newtork needed adjusted,FALSE,,Under Repair,6/8/07,,Tech 1,Adjust Air Flow
495,6/7/07,9:15:50 AM,17,Dicing Cell,K&S,DICING SAW,982,P0023,SAW #11,637,Front water pipe broken,Replace pump,FALSE,,Under Repair,6/10/07,,Tech 1,Replace Jet
496,6/7/07,10:30:45 AM,135,AMP Area,Wasino,Surface Grinder,Meister V3,P0301,Surface Grinder,638,vacuum pump not operating properly.,replace y sensors,FALSE,,Under Repair,6/8/07,,Tech 1,Checked OK
497,6/7/07,7:22:41 PM,13,AMP Area,K&S,DICING SAW,982,P0018,SAW #9,639,saw is not indexing properly ,Duplicate request,FALSE,,Under Repair,6/17/07,,Tech 1,Clean Y Axis Slide
498,6/7/07,9:55:07 PM,85,Stackbond Cell,Other,Other,Other,Other,Other,640,Bottom door hinge on big blue oven is broken.,"Unit was being ran in program 1, an unsed program ",FALSE,,Under Repair,6/15/07,9:16:59 AM,Tech 2,"repair hinge
"
498,6/7/07,9:55:07 PM,85,Stackbond Cell,Other,Other,Other,Other,Other,640,Bottom door hinge on big blue oven is broken.,"Unit was being ran in program 1, an unsed program ",FALSE,,Under Repair,6/8/07,&nbsp;,Tech 2,"Removed door completely,contacted Tech 9. Need"
499,6/8/07,11:03:09 AM,85,AMP Area,Other,Other,Other,Other,Other,642,Nitrogen cabinet leaking ID# 20 AMP saw area.,Tuning switch was in manual position,FALSE,,Under Repair,6/15/07,9:16:39 AM,Tech 2,repair hinge
499,6/8/07,11:03:09 AM,85,AMP Area,Other,Other,Other,Other,Other,642,Nitrogen cabinet leaking ID# 20 AMP saw area.,Tuning switch was in manual position,FALSE,,Under Repair,6/10/07,,Tech 1,Checked / OK
500,6/8/07,1:55:27 PM,27,Dicing Cell,K&S,DICING SAW,986-6,P0033,DICING SAW #14,643,still getting spindle dirt on units spindle needs replaced.,done,FALSE,,Under Repair,7/12/07,,Tech 1,Replaced Spindle / Replaced Chuck
501,6/11/07,3:01:27 PM,85,Test Cell,Other,Other,Other,Other,Other,644,Test,Moved plasma treater,FALSE,,Under Repair,6/12/07,7:25:01 AM,Tech 8,Test
501,6/11/07,3:01:27 PM,85,Test Cell,Other,Other,Other,Other,Other,644,Test,Moved plasma treater,FALSE,,Under Repair,6/11/07,3:03:16 PM,Tech 8,Test
502,6/11/07,4:06:57 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,648,Replace the water tubes. See Jake Wagner if you have quesations.,"Intermittent issue, may need solenoid valve replac",FALSE,,Under Repair,6/12/07,,Tech 2,Flushed System
503,6/11/07,5:07:37 PM,86,Dicing Cell,Disco,Dicing saw,DAD321,P0081,Saw #1,649,Will not do a set up. Voltage stays at 55 and no water on sencor,Facilities needs to complete this work,FALSE,,Under Repair,6/11/07,,Tech 1,Cleaned Prism / Clean & Flush Water Jets
504,6/12/07,10:05:40 AM,139,AMP Area,DISCO,BACKGRINDER,DAG 810,P0072,BACKGRINDER,650,need a new pump for the water recerc. from the chiller to tank,Duplicate request,FALSE,,Under Repair,6/14/07,,Tech 1,"Repaired Pump,but needs replaced."
505,6/12/07,4:48:46 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,651,Re-connect saw 3 to recirc water from fresh tap water,Pump needed 950 mL of Fomblin fluid,FALSE,,Under Repair,6/12/07,,Tech 1,Done
506,6/12/07,10:38:39 PM,161,AMP Area,ENVAX,ENCAPSULATOR,VE-16,P0404,ENCAPSULATOR,652,Glass in door is showing new cracks!,Replaced Pump,FALSE,,Under Repair,6/22/07,8:20:50 AM,Tech 2,replace glass
507,6/13/07,4:12:08 PM,107,AMP Area,Airflow Systems,Fume Extractor,Minivac,P0219,Fume Extractor,653,Need 1 filter replaced. Out of 1 filters!,Replaced Pump / Locked Up,FALSE,,Under Repair,8/13/07,10:51:17 AM,Tech 2,Part of periodic PMI
508,6/13/07,8:15:59 PM,17,Dicing Cell,K&S,DICING SAW,982,P0023,SAW #11,656,no vacume on chuck,reboot machine,FALSE,,Under Repair,6/13/07,,Tech 1,Vacuum OK / Dressing Board Warped
509,6/14/07,6:06:51 PM,85,Dicing Cell,Other,Other,Other,Other,Other,657,Please disconnect the DI water system in the dicing saw room,saw not ready for use,FALSE,,Under Repair,6/14/07,,Tech 1,Disconnected
510,6/15/07,11:05:07 AM,151,Closing Cell,MARCH,PLASMA ETCHER,PX-1000,P0378,PLASMA ETCHER,659,Oil is on the low mark,Duplicate request,FALSE,,Under Repair,6/15/07,1:42:40 PM,Tech 2,add oil
510,6/15/07,11:05:07 AM,151,Closing Cell,MARCH,PLASMA ETCHER,PX-1000,P0378,PLASMA ETCHER,659,Oil is on the low mark,Duplicate request,FALSE,,Under Repair,6/15/07,1:42:29 PM,Tech 2,add oil
511,6/15/07,11:05:58 AM,150,Closing Cell,MARCH,PLASMA ETCHER,PX-1000,P0377,PLASMA ETCHER,660,oil is on the low line,complete,FALSE,,Under Repair,6/15/07,1:43:27 PM,Tech 2,add oil
512,6/15/07,11:08:43 AM,30,AMP Area,K&S,DICING SAW,982,P0037,SAW #11,661,Saw won't maintain height.,clean flue,FALSE,,Under Repair,6/15/07,3:02:52 PM,Tech 2,replace chuck
513,6/15/07,8:32:46 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,663,Shower water will not shut off,Hooked up and tested,FALSE,,Under Repair,6/29/07,10:45:17 AM,Tech 2,Flush valve
513,6/15/07,8:32:46 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,663,Shower water will not shut off,Hooked up and tested,FALSE,,Under Repair,6/29/07,10:43:19 AM,Tech 2,Flush valve
514,6/18/07,2:31:56 AM,27,Dicing Cell,K&S,DICING SAW,986-6,P0033,DICING SAW #14,664,enter key not working,Pump switch off on ontrol panel,FALSE,,Under Repair,6/18/07,,Tech 1,Replace Keyboard
515,6/18/07,3:47:16 AM,81,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0045,CHA#1,665,Chamber Gasket Fell Off,Replaced Sensor,FALSE,,Under Repair,6/18/07,,Tech 1,Replaced Gasket
516,6/18/07,6:21:47 AM,85,Dicing Cell,Other,Other,Other,Other,Other,666,Main vacuum tank is filling up with water,Replaced Motor,FALSE,,Under Repair,8/13/07,11:17:24 AM,Tech 2,install vacuum control valve
516,6/18/07,6:21:47 AM,85,Dicing Cell,Other,Other,Other,Other,Other,666,Main vacuum tank is filling up with water,Replaced Motor,FALSE,,Under Repair,8/13/07,11:11:10 AM,Tech 2,install vacuum level control valve
517,6/19/07,9:29:29 AM,52,Lensing Cell,Welch Vacuum Inc.,vacuum pump,WELCH 1402,P0119,vacuum pump,667,no vac.,e-mail test,FALSE,,Under Repair,6/19/07,10:58:24 AM,Tech 2,replace vacuum valve
518,6/19/07,9:44:35 AM,59,3D Area,Welch Vacuum Inc.,vacuum pump,WELCH 1402,P0126,vacuum pump,668,Vacuum pump has a low oil level and can not be run. ,Installed upgrades to Omni Cleaner,FALSE,,Under Repair,6/19/07,12:50:30 PM,Tech 2,replace pump
519,6/19/07,12:44:31 PM,117,MOPS,Interlab,Rinse Station,MRS/1855,P0075,Rinse Station 004,669,Temp set at 41 and running at 44. To Hot.,Installed Omni Cleaner,FALSE,,,,,,
520,6/19/07,10:46:15 PM,140,AMP Area,DISCO,BACKGRINDER,DAG 810,P0324,BACKGRINDER,670,lid broke at hinge,Clean & Flush Water Line,FALSE,,Under Repair,6/20/07,,Tech 1,Repair Lid
521,6/20/07,12:26:12 AM,84,Dicing Cell,DISCO,DICING SAW,DAD361,P0082,SAW #2,671,cut water flow error,Clean & Flush Water Lines / Flow Meter,FALSE,,Under Repair,6/20/07,,Tech 1,Clean & Flush Water Lines / Flow Meter
522,6/20/07,8:41:22 AM,85,AMP Area,Other,Other,Other,Other,Other,672,recir pump for blanking saws not working,Cleaned & Flushed Water Lines / Flow Meter,FALSE,,Under Repair,6/21/07,,Tech 1,Checked / OK
523,6/20/07,10:09:44 AM,85,AMP Area,Other,Other,Other,Other,Other,673,Replace pump for the AMP saws  water tank  ,Added oil,FALSE,,Under Repair,6/21/07,,Tech 1,Duplicate Request
524,6/21/07,1:26:38 AM,82,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0046,CHA#2,675,Glycol Leak,Clean & Flush Water Lines,FALSE,,Under Repair,6/21/07,,Tech 1,Repair Hose Connection To Crystal Sensor
525,6/21/07,2:04:01 AM,81,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0045,CHA#1,676,GP307 Vacuum gauge is off-line,Chiller switched off,FALSE,,Under Repair,6/21/07,,Tech 1,Shorted Micro-Switch
526,6/21/07,11:55:45 AM,30,AMP Area,K&S,DICING SAW,982,P0037,SAW #11,677,Left Limit Failure,Tightened Bolts on Mount,FALSE,,Under Repair,6/22/07,,Tech 1,Checked Limits /OK
527,6/22/07,6:01:11 AM,85,Lensing Cell,Other,Other,Other,Other,Other,678,centrifuge is not working ,Replaced DI Bed,FALSE,,Under Repair,6/27/07,,Tech 1,Repair Armature & Brushes / Replaced Bearings
528,6/22/07,11:54:30 AM,149,Stackbond Cell,MARCH,PLASMA ETCHER,PX-1000,P0376,PLASMA ETCHER,679,Plasma Treater needs oil,Clean & Flush Water Line,FALSE,,Under Repair,6/25/07,,Tech 1,Added Oil
529,6/23/07,9:53:57 AM,59,3D Area,Welch Vacuum Inc.,vacuum pump,WELCH 1402,P0126,vacuum pump,680,Oil level is low again! Turned pump off. Cannot use. ,"Hole in hose, replaced hose",FALSE,,Under Repair,6/25/07,,Tech 1,Added Oil
530,6/24/07,11:01:27 PM,17,Dicing Cell,K&S,DICING SAW,982,P0023,SAW #11,681,no cut water,Replaced Latch,FALSE,,Under Repair,6/25/07,,Tech 1,Clean & Flush Water Lines
531,6/24/07,11:02:03 PM,84,Dicing Cell,DISCO,DICING SAW,DAD361,P0082,SAW #2,682,no cut water,Installed components,FALSE,,Under Repair,6/25/07,,Tech 1,Clean & Flush Water Lines
532,6/25/07,1:46:45 PM,127,MOPS,Envirco,Laminar Flow Bench,,P0257,Laminar Flow Bench,683,Need new air filters,Drain Excess,FALSE,,,,,,
533,6/25/07,2:23:59 PM,85,AMP Area,Other,Other,Other,Other,Other,684,test,Clean & Flush Water Lines / Flow Meter,FALSE,,Under Repair,6/25/07,2:34:55 PM,Tech 2,&nbsp;
534,6/25/07,4:33:47 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,685,Saw 3 shower water will not turn off.  ,Align Shutter,FALSE,,,,,,
535,6/25/07,4:34:40 PM,30,AMP Area,K&S,DICING SAW,982,P0037,SAW #11,686,Height problems.  Brush open error.,Cleaned Y Axis Slide,FALSE,,Under Repair,6/27/07,3:37:45 AM,Tech 1,Replaced Brushes / Cleaned Sensors
536,6/26/07,1:35:17 PM,30,AMP Area,K&S,DICING SAW,982,P0037,SAW #11,687,Saw doesn't maintain height.,Replaced Vacuum Pump,FALSE,,Under Repair,6/27/07,,Tech 1,Replaced Brushes / Cleaned Sensors
537,6/27/07,12:26:00 AM,133,Dicing Cell,DISCO,Dicing Saw,DAD321,P0086,Dicing Saw#8,689,Lost cutting water on saw 8,Replaced Y axis drive motor,FALSE,,Under Repair,6/27/07,,Tech 1,Clean & Flush Water Lines / Jets
538,6/27/07,12:52:59 AM,27,Dicing Cell,K&S,DICING SAW,986-6,P0033,DICING SAW #14,690,No cut water to saw- clogged,Add 3 liters fomblin,TRUE,More diligence is needed in oil level checks by op,Under Repair,6/27/07,,Tech 1,Clean & Flush Water Lines / Jets
539,6/27/07,2:08:55 AM,12,Dicing Cell,K&S,DICING SAW,982,P0017,SAW #1,691,No saw water-clogged,Swapped Pumps,FALSE,,Under Repair,6/27/07,,Tech 1,Clean & Flush Water Lines / Jets
540,6/27/07,10:41:31 AM,153,Lensing Cell,MARCH,PLASMA ETCHER,PX-1000,P0380,PLASMA ETCHER,692,oil low,Added oil,FALSE,,Under Repair,6/27/07,2:22:35 PM,Tech 2,add oil
541,6/27/07,10:42:23 AM,152,Lensing Cell,MARCH,PLASMA ETCHER,PX-1000,P0379,PLASMA ETCHER,693,oil low,OK to run changed address,FALSE,,Under Repair,6/27/07,2:22:44 PM,Tech 2,add oil
542,6/27/07,1:36:32 PM,133,Dicing Cell,DISCO,Dicing Saw,DAD321,P0086,Dicing Saw#8,694,spindle continuity error,Install reworked semkit,FALSE,,Under Repair,6/27/07,2:22:59 PM,Tech 2,operator checked OK
543,6/27/07,4:32:27 PM,85,Wiring Cell,Other,Other,Other,Other,Other,695,Leaking oil - vacuum pump @ degassing station beside #2 Waterfall Rinse.,Clean & Flush Water Lines,FALSE,,Under Repair,7/17/07,,Tech 1,Checked / Ok
544,6/27/07,6:32:10 PM,85,Wiring Cell,Other,Other,Other,Other,Other,696,Tab Bonder 1 has a pedal that is getting harder to push ,Rebooted saw,FALSE,,,,,,
545,6/27/07,6:32:59 PM,85,Wiring Cell,Other,Other,Other,Other,Other,697,Microscope goes out of focus will operator is using.,Replaced rollers,FALSE,,,,,,
546,6/27/07,11:35:56 PM,150,Closing Cell,MARCH,PLASMA ETCHER,PX-1000,P0377,PLASMA ETCHER,698,Plasma treater will not work. at 11:00pm,Replaced Rollers,FALSE,,Under Repair,6/29/07,7:13:42 AM,Tech 2,checks OK
547,6/28/07,1:58:48 PM,87,Dicing Cell,Disco,Dicing Saw,DAD3220,P0085,Dicing Saw,699,Saw 6 - shower water only turns off is saw re-initialized.,,FALSE,,Under Repair,6/29/07,10:43:30 AM,Tech 2,Flush valve
548,6/28/07,3:01:54 PM,85,AMP Area,Other,Other,Other,Other,Other,700,Gasses supplied to plasma treater should be 10-15psi,Installed mirror,FALSE,,,,,,
549,6/28/07,10:50:48 PM,85,Wiring Cell,Other,Other,Other,Other,Other,701,UV #6 keeps shorting out when trying to change the bulb.,Install Mirror,FALSE,,,,,,
550,6/29/07,10:44:28 AM,85,Wiring Cell,Other,Other,Other,Other,Other,702,Tab bonder #4 in C8-4 wiring is not ramping the temp. back down,Install Mirror,FALSE,,Under Repair,7/2/07,10:48:38 AM,Tech 2,tighten and clean tip contacts 
551,6/29/07,11:04:19 AM,139,AMP Area,DISCO,BACKGRINDER,DAG 810,P0072,BACKGRINDER,703,replace water gauges on back grinder ,Replace Filter Bank For Dicing Cell Recirc,FALSE,,Under Repair,7/2/07,10:49:23 AM,Tech 2,replaced by operators
552,6/29/07,11:05:00 AM,140,AMP Area,DISCO,BACKGRINDER,DAG 810,P0324,BACKGRINDER,704,Replace water gauges on back grinder ,Cleaned Door Gasket,FALSE,,Under Repair,7/2/07,10:49:35 AM,Tech 2,replaced by operators
553,6/29/07,2:55:56 PM,113,AMP Area,,,,P0048,Dryer,705,shutter error,Installed oil sight level mirror,FALSE,,Under Repair,7/2/07,10:48:59 AM,Tech 2,replace sensor
553,6/29/07,2:55:56 PM,113,AMP Area,,,,P0048,Dryer,705,shutter error,Installed oil sight level mirror,FALSE,,Under Repair,6/29/07,2:56:27 PM,Tech 2,replace sensor
554,6/29/07,4:48:07 PM,85,Wiring Cell,Other,Other,Other,Other,Other,708,"Bonder E4417gives start up fault error,resets like start up.screen dim",Replaced Brushes,FALSE,,,,,,
555,7/2/07,5:57:24 AM,141,AMP Area,NESLAB,REFRIGERATED RECIRCULATOR,CFT-150,P0350,REFRIGERATED RECIRCU,711,Needs Immediate attention.  Pump siezed.,Replaced Monitor,FALSE,,Under Repair,7/19/07,9:07:02 AM,Tech 2,Mcclure repaired
556,7/2/07,10:32:52 AM,39,TEE area,Welch Vacuum Inc.,vacuum pump,WELCH 1402,P0106,vacuum pump,712,Smells like oil,Replaced brushes,FALSE,,Under Repair,7/10/07,,Tech 1,Changed Oil
557,7/2/07,11:38:12 AM,29,Dicing Cell,LEYBOLD,VACUUM SYSTEM,LEYBOLD,P0035,"VACUUM SYSTEM, DICING",713,pump #2 will not run,pressure too high,FALSE,,Under Repair,7/9/07,,Tech 1,Re-Set Breaker
558,7/2/07,12:52:23 PM,31,AMP Area,K&S,DICING SAW,982,P0038,SAW #12,714,saw down,Replaced Controller,FALSE,,Under Repair,7/2/07,2:47:27 PM,Tech 2,"reseat connection, check oil level and reboot mach"
559,7/2/07,7:39:14 PM,140,AMP Area,DISCO,BACKGRINDER,DAG 810,P0324,BACKGRINDER,715,water shuts off when dressing wheel,Added oil,FALSE,,Under Repair,7/3/07,7:56:51 AM,Tech 2,wires on new gauges switched
560,7/2/07,7:39:55 PM,139,AMP Area,DISCO,BACKGRINDER,DAG 810,P0072,BACKGRINDER,716,water shuts off when dressing wheel,Added oil,FALSE,,Under Repair,7/3/07,7:57:03 AM,Tech 2,wires on new gauges switched
561,7/2/07,8:46:13 PM,85,Wiring Cell,Other,Other,Other,Other,Other,717,Tab Bonder #4 is sticking and will not cool down.,Replaced pump casing,FALSE,,Under Repair,7/3/07,1:32:05 PM,Tech 2,Clean cable contacts and tip contacts.
562,7/2/07,8:56:21 PM,85,Wiring Cell,Other,Other,Other,Other,Other,718,Tab Bonder #2 is not usable. Numbers are changing.,Replaced RF power supply,FALSE,,Under Repair,7/3/07,1:32:58 PM,Tech 2,Faulty power supply awaiting disposition from Vendor.
563,7/3/07,8:59:57 AM,31,AMP Area,K&S,DICING SAW,982,P0038,SAW #12,719,saw not working,Disco tech Replaced spindle under warranty,FALSE,,Under Repair,7/3/07,2:46:38 PM,Tech 2,remove bind from cables and hoses
564,7/3/07,9:00:14 AM,26,AMP Area,K&S,DICING SAW,982-6,P0032,DICING SAW #13,720,saw not working,Clean & Flush Water Lines / Flow Meter,FALSE,,Under Repair,7/3/07,2:09:30 PM,Tech 2,clean x limit 
565,7/5/07,8:07:33 AM,116,Wiring Cell,Interlab,Rinse Station,MRS/1855,P0044,Rinse Station 003,721,We have two waterfall rinse stations with readings below 7,Clean & Flush Water Lines / Flow Meter,FALSE,,,,,,
566,7/6/07,6:12:06 AM,86,Dicing Cell,Disco,Dicing saw,DAD321,P0081,Saw #1,722,Rear water jet broke,replace guard,FALSE,,,,,,
567,7/6/07,10:36:56 AM,85,AMP Area,Other,Other,Other,Other,Other,726,test,Replaced DI Bed,FALSE,,Under Repair,7/9/07,7:27:30 AM,Tech 8,test
568,7/6/07,10:53:30 AM,85,AMP Area,Other,Other,Other,Other,Other,727,test,Replaced Vacuum Switch,FALSE,,Under Repair,7/9/07,7:27:39 AM,Tech 8,test
569,7/10/07,7:26:41 AM,85,AMP Area,Other,Other,Other,Other,Other,729,vacuum hookup at surface grinders for Heidenhain,Replaced Float Valve,FALSE,,Under Repair,7/19/07,9:12:15 AM,Tech 2,done
570,7/10/07,7:38:57 PM,53,Wiring Cell,Welch Vacuum Inc.,vacuum pump,WELCH 1402N,P0120,vacuum pump,730,The degas oil level is high. ,Replaced motor control board for y-axis motor,FALSE,,Under Repair,7/11/07,,Tech 1,Drain Excess
571,7/11/07,1:46:45 AM,84,Dicing Cell,DISCO,DICING SAW,DAD361,P0082,SAW #2,731,non-contact sensor water jet clogged,Checked / Ok,FALSE,,Under Repair,7/11/07,,Tech 1,Clean & Flush Jets
572,7/11/07,8:17:00 AM,82,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0046,CHA#2,732,ION Mill not working.,Gauges shut off,FALSE,,Under Repair,7/18/07,7:32:34 AM,Tech 5,Now fucntional
572,7/11/07,8:17:00 AM,82,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0046,CHA#2,732,ION Mill not working.,Gauges shut off,FALSE,,Under Repair,7/18/07,7:32:54 AM,Tech 5,a Lot
573,7/11/07,9:51:00 AM,85,MOPS,Other,Other,Other,Other,Other,733,"Not mixing normal, Semco Mixer",Clean & Flush Water Lines,FALSE,,Under Repair,7/12/07,1:01:57 PM,Tech 2,Switched unit with good one.
574,7/11/07,7:13:24 PM,85,Wiring Cell,Other,Other,Other,Other,Other,734,C5-2 tab bonder#1 does not have programs at power supply.,Gear Alignments,FALSE,,Under Repair,7/12/07,,Tech 1,Re-Boot Power Supply
575,7/12/07,11:05:17 AM,150,Closing Cell,MARCH,PLASMA ETCHER,PX-1000,P0377,PLASMA ETCHER,735,Oil is low,Clean Sensors,FALSE,,Under Repair,7/13/07,,Tech 1,Added Oil
576,7/12/07,11:05:53 AM,151,Closing Cell,MARCH,PLASMA ETCHER,PX-1000,P0378,PLASMA ETCHER,736,Oil is low,Replace Set Screws,FALSE,,Under Repair,7/13/07,,Tech 1,Added Oil
577,7/12/07,12:09:49 PM,25,AMP Area,SAMSCO,EVAPORATION SYSTEM,,P0031,EVAPORATION SYSTEM,737,evaporater temp. is at 216 and needs cleaned ,change oil,FALSE,,Under Repair,7/23/07,2:31:02 PM,Tech 2,dump water from evaporator
578,7/12/07,8:42:11 PM,85,Stackbond Cell,Other,Other,Other,Other,Other,740,Defective Door Latch.  Oven #2 ID# M6386,,FALSE,,Under Repair,7/12/07,,Tech 1,Replace Latch Assembly
579,7/12/07,10:53:19 PM,9,Closing Cell,ALCHEMIST,ALCHEMIST FUME HOOD,DFH-3,P0010,FH #10,741,Light in fume hood needs replaced.,Clean & Flush Water Lines,FALSE,,Under Repair,7/19/07,,Tech 1,Checked Ok
580,7/13/07,11:36:33 AM,150,Closing Cell,MARCH,PLASMA ETCHER,PX-1000,P0377,PLASMA ETCHER,742,Oil is low,Clean & Flush Water Lines,FALSE,,,,,,
581,7/13/07,11:37:14 AM,151,AMP Area,MARCH,PLASMA ETCHER,PX-1000,P0378,PLASMA ETCHER,743,Oil is low Pressure is not drawling down every time,Clean & Flush Water Lines,FALSE,,,,,,
