New Tokens ,P|S|I|X|R|U (Problem/solution/item/stop word/redundant/unsure),Preferred label,Notes
valve rebuild,R,,
not clear,P,will_not_clear,
guide bushing,,,
brush unit trip,,,
sinat,I,,
o ring,,,
cam switch,,,
actual issue,I,actual_issue,
50,X,,
tap,,,
overtemp,,,
occur,,,
see unit,R,,
index ot,,,
accumulator ok,R,,
leak coolant,,,
different,,,
plug in connector,,,
unload,,,
need rebuild,,,
adjust flow,,,
motor cable,,,
vogel fault,,,
replace sensor cable,,,
overfill,,,
clear jam,R,,
patrick,,,
xd unit,,,
cut oil,,,
chip jam,R,,
metering valve,,,
pressure leave,R,,
remove spindle,,,
table index valve,,,
pwer,,,
35/60 spindle,,,
potentiometer,,,
work hold collet,,,
table index ot,,,
protection,,,
onsite,,,
mechanical,,,
replace flow,R,,
detect inop,,,
leak fit,R,,
index ot fault,,,
bypass,,,
t,,,
unit belt,,,
standard,,,
accumulator pressure,,,"Do we want to tag things like this, it would already be tagged by ""accumulator"" and ""pressure"""
air flow,,,
steel,I,,
new bearing,,,
unit replace,,,
hold collet,,,
work hold,,,
tightened,,,
st#3 spindle bearing,,,
line replace,R,,
clean and reinstall,,,
union,,,
hp ok,R,,
st#4 spindle,,,
problem,,,
needs,,,
stop alarm,P,stop_alarm,
collision alarm,,,
remove break,,,
filter tank,,,
inverter inop,R,,
tool detector,,,
purchase and instal,,,
contactor fault,,,
device,,,
debris,,,
referrenced,,,
connection repair,R,,
ms32,I,ms_32,
replace fit,R,,
arrival,,,
height,,,
fixture,,,
rebuild table,,,
functional,,,
leak hose,,,
st#2 tool detection,,,
extract,,,
spinner,,,
mach,,,
9/14,X,,
lhe,,,
operators,,,
offload conveyor belt,I,offload_conveyor_belt,
reset trip breaker,R,,
reset trip,R,,
vogel unit,I,vogel_unit,
laser tool detection,,,
poor,,,
air cylinder,,,
part offload conveyor,I,part_offload_conveyor,
part offload,I,part_offload,
replace air,,,
contactor overload fault,,,
40bar charge,R,,
sensor replace,,,
drive gear,,,
replace motor contactor,R,,
motor overheat,R,,
smoking,P,,
push rod,I,push_rod,
pcm,,,
broken air,R,,
clutch slip,R,,
conveyor clutch slip,R,,
replace pump,,,
see blade,R,,
wheel spindle,,,
st#3 recess spindle,,,
crank,S,,I think this is always a solution
sensor and cable,,,
assist,S,,
turret leak,,,
sa,,,
replaced leak,,,
dylan,,,
z axis ball,,,
broken chain,R,,
active,,,
drive pulley,,,
large,,,
emergency,,,
unit on shelf,,,
emergency retract,,,
vent,,,
pick up part,,,
hand crank,S,hand_crank,
rebuild spindle,,,
loose fitting,,,
clamp pressure,I,,iS THIS AN ITEM
replace hydraulic hose,R,,
sec,,,
brush head,,,
ring replace,,,
t98,,,
blower,,,
follow,,,
hyd hose,I,hydraulic_hose,
broken bolt,,,
accept,,,
60bar,X,,
grinder,,,
clamp spool,,,
feb,,,
satellite,,,
cylindar,,,
hex,,,
hook,I,,
break bolt,,,
soft limit,,,
11/14,X,,
burn smell,,,
idler,,,
broken ejector,,,
solonoid,,,
magnetic,,,
rubber,,,
chip scraper,,,
exit conveyor,I,exit_conveyor,
harness,,,
meet,,,
linear motor,,,
hinge,I,,
fette head,,,
drive tube,,,
touch,,,
gap,,,
part ejector,,,
cpu,,,
lathe,,,
h7,,,
john pyers,,,
relief,,,
motor temp,,,
barnes,,,
chuck pressure,,,
collar,,,
reassemble,,,
psi,,,
raise,S,,
bundle,,,
pyers,,,
clutch adjustment,,,
terminal,,,
cycle stop,,,
clamp fault,P,clamp_fault,
leak at grind,,,
inverter fail,R,,
overheat alarm,,,
replaced vogel unit,R,,
complete index,,,
unit breaker,,,
closed,,,
taper,,,
broken disc,R,,
brush unit breaker,,,
bladder replace,R,,
mount bracket,,,
replaced broken clutch,R,,
assessment,,,
transport collision alarm,,,
doug patrick,,,
controler,,,
leak at base,,,
return home,,,
replace xd,,,
9/13,X,,
position sensor,,,
missing screw,,,
deliver,,,
dog holder,I,push_dog_holder,
make noise,,,
operator task,,,
horizontal,,,
bar clamp fault,P,bar_clamp_fault,
light stack,,,
leak air,,,
control box,,,
broken clamp,,,
screw remove,,,
iemca face travel,,,
machine to base,,,
sp#1,,,
secure,,,
require rebuild,,,
induplate,,,
sensor adjust,,,
piece,,,
motor hot,,,
earlier,,,
come under control,,,
flow control valve,I,flow_control_valve,
motor connection,,,
see clamp screw,R,,
instead,,,
speed counter,I,speed_counter,
glue,,,
high speed counter,I,high_speed_counter,
drill detection,,,
previously,,,
replaced coolant,,,
shut off machine,,,
remove break screw,,,
relate,,,
st2 low,,,
screw break,,,
replace hydraulic return,,,
temp alarm,,,
motor run,,,
disc on clutch,R,,
prod,,,
clean area,,,
overflow,,,
feed speed,I,feed_speed,
st#10 valve,,,
45bar,,,
fault clear,,,
replaced disc,R,,
new accumulator,,,
iemca need,R,,
bar change occur,,,SOMETIMES THIS IS A PROBLEM
change occur,R,,
unused,,,
iemca face,,,
reset button,,,
pcs100,,,
offload automation,,,
flag prox,,,
inverter guard break,R,,
st2 pressure,,,
motor seize,,,
axis overtravel,,,
motor trip,,,
motor trip breaker,,,
hose connection,I,hose_connection,
ruptured air,,,
ruptured air line,,,
drill detect,,,
2nd shift,,,
pick off collet,,,
transport plate,,,
a/c,,,
rebuild unit,,,
clear chip jam,R,,
lose part,,,
unit bearing,,,
clutch fault,,,
unscrew,,,
roland,,,
screw in saw,R,,
clamp screw crack,,,
grind noise,,,
flag prox cable,I,flag_proximity_cable,
horn,,,
pressure drop,R,,
spinlde,,,
replace main,,,
head remove,,,
base drain,R,,
collet open/close,R,,
v bowl,,,
hp accumulator,I,high_pressure_accumulator,
steve replace,,,
100,X,,
pin and replace,,,
10/4,X,,
unit 2,I,unit_2,
mag filter,,,
reprogrammed,,,
faulting,,,
spot,,,
sensor cable break,R,,
replace drive belt,R,,
mid,,,
wringer,,,
sticking,,,
ran,,,
st#4 valve,,,
replace see,R,,
adjust flow control,,,
smoke,,,
heavy vibration,,,
screw crack,,,
sp#3,,,
new unit,,,
multiple time,,,
leak hyd,,,
motor mount,,,
dust,,,
lube pump,,,
holder clamp,,,
46,X,,
iso,,,
tool holder clamp,,,
fuse blow,,,
new valve,,,
offload robot,,,
operator remove,,,
open sensor,,,
return line replace,R,,
rinse tank,,,
motor fan,,,
rinse,,,
presetter,,,
b transport,,,
clearing,,,
cast,,,
pete,,,
spill,,,
st#2 spindle bearing,,,
head attachment,I,head_attachment,
coolanr,,,
inventory unit,,,
rear of machine,,,
dresser control valve,I,dresser_control_valve,
siemens,,,
dry,,,
inlet,,,
canister,,,
replace rupture,R,,
motor and pulley,,,
motor pulley,,,
spindle remove,,,
upper belt,,,
st#13,,,
pedestal,,,
actuate,,,
bench,,,
chuck cylinder pressure,,,
cylinder pressure,,,
hs2,,,
clean and reset,,,
air filter,,,
eject,,,
part chute,,,
old,,,
hydraulic fault,P,hydraulic_fault,
quick,X,,unecessary
increased,S,increase,
machine base,,,
dresser control,I,dresser_control,
charge and tag,R,,
base position,,,
machine start,,,
h40,,,
process,,,
fast,P,,i THINK THIS MAKES SENSE AS A PROBLEM
red,,,
spindle collet,,,
motor with spare,,,
funnel,,,
retain bolt,,,
remove turret,,,
instruct,,,
table index overtime,,,
actuator replace,,,
port,,,
limit alarm,,,
stay forward,,,
lock alarm,,,
collet close roll,,,
index overtime,,,
plunger,,,
service filtermist,,,
replace ruptured,,,
pump impellor,,,
able,,,
spindle rebuild,,,
far,,,
build,S,,
extended,,,
travel limit,,,
interlock key,,,
part track,,,
pack leak,,,
change overtime fault,P,change_overtime_fault,NOT SURE
jam clear,R,,
power pack leak,,,
6/20,X,,
encoder replace,,,
bar change overtime,P,bar_change_overtime,
bar loader inop,R,,
pcs,,,
attempt,,,
know,,,
change overtime,P,change_overtime,NOT SURE
exchanger,,,
zone,,,
roller switch,,,
cool unit fault,,,
bar feed chain,I,bar_feeder_chain,
liner,,,
spindle leak hydraulic,R,,
hp to 50bar,R,,
low fault,,,
ir,,,
sc4,,,
6/28,X,,
unit motor fall,,,
gerry costa,,,
removal,,,
drive alarm,,,
charge to lp,R,,
costa,,,
apply,,,
lp 30bar,R,,
swarf,,,
moved,,,
replace feed,,,
replaced hose,,,
slide roll,,,
collet closing,,,
spindle leak,R,,
6/24,X,,
hydraulic motor overload,R,,
unit jam forward,,,
adjust air,,,
enable,,,
unit fault,,,
demag,,,
rot,,,
replaced belt,,,
master,,,
hs3,,,
ir scan,,,
cleared fault,,,
inverter valve,I,inverter_valve,
current,,,
scan,,,
function properly,,,
slide roll loose,,,
roll loose,,,
main tool,,,
unknown,,,
wash conveyor,,,"Not sure if this is a ""wash conveyor"" or it is saying to wash the conveyor"
jumping,,,
leak report,,,
bounce,,,
iemca flag,I,iemca_flag,
prox 's,I,proximity,
dia,,,
cross drill unit,,,
knob,,,
cyclinder,,,
servo alarm,,,
clamp alarm,P,clamp_alarm,
replace bulb,,,
broken lead screw,,,
high pressure coolant,,,
drill unit,,,
replaced see,R,,
major coolant,,,
major coolant leak,,,
tool position,,,
bar clamp alarm,P,bar_clamp_alarm,
speed change,,,
unit o/t fault,,,
retain nut,,,
fuse block,,,
toggle,,,
replaced hydraulic,,,
accordingly,X,,
6/7,X,,
linear potentiometer,,,
spline,,,
grind wheel control,,,
replace belt,,,
unit o/t,,,
broken lead,,,
utility unit o/t,,,
st#11 spindle bearing,,,
utility unit,,,
o rings,,,
tube extension,,,
replace pusher,R,,
35,X,,
filter change,,,
unit swap,,,
hydromat,I,,
main motor,,,
s4,,,
shaft wear,,,
fuse in control,I,control_fuse,
main tool slide,,,
vogel lube leak,,,
lube leak,,,
bearing bad,,,
reading,,,
schedule,,,
show,,,
feel,,,
td,,,
heat exchanger,,,
ducting,,,
entire,X,,
milling head,,,
transport inop,,,
replace pusher dog,R,,
impeller,,,
spindle bearing bad,,,
speed change shaft,,,
rotary,,,
h38,,,
unit rebuild,,,
sc11,,,
head stock,,,
doc,,,
air regulator,,,
main head stock,,,
appear ok,,,
bearing failure,,,
elaso,,,
fee pressure,I,feed_pressure,
loose motor,,,
lh,,,
broken ejector sleeve,,,
hs5 drive,,,
7/11,X,,
main head,,,
bar fee,I,bar_feed,
ball valve,,,
screw failure,,,
release valve,,,
drain and clean,,,
scroll,,,
gripper open,,,
ejector sleeve,,,
o/s,,,
valve plate,I,valve_plate,
chamber,,,
touch screen,,,
point,,,
assy,,,
subspindle,,,
steam,,,
door safety,,,
hinge belt,I,hinge_belt,
10 mm,,,
zs3,,,
center shaft,,,
s,X,,
robo drive,,,
lift cylinder,,,
identify,,,
prox adjust,R,,
speed limit,,,
inner,,,
mm hex,,,
continue,,,
knoll controller,,,
fanuc,,,
glide,,,
disable,,,
b axis,,,
lift pump motor,,,
pneumatic,I,,
loader tray,I,loader_tray,
linkage,,,
encoder couple,,,
intake filter,I,intake_filter,
squeeling,,,
sloppy,,,
drill detector st#2,,,
scrap,,,
motor brake,,,
leak from rear,,,
rebuilt and store,,,
tool life,,,
80,X,,
16,X,,
result,,,
miss bolt,,,
st#2 inop,,,
polished,,,
disc replace,,,
clutch disc replace,,,
replaced unit,,,
drip,,,
unit safety,I,unit_safety,
set properly,,,
lead screw shaft,,,
chip guard need,,,
brake motor,,,
install new,,,
head wear,,,
lp 25bar,R,,
part catcher basket,,,
z1 ball,,,
z1 ball screw,,,
drill head bearing,,,
match,,,
collet open,,,
remount brush unit,R,,
valve leak hydraulic,R,,
head bearing wear,,,
trepan,,,
channel 2,,,
detector st#2,,,
grate,,,
chamfer unit belt,,,
increase air,,,
safety guard,I,safety_guard,
splash cover,,,
leak at loader,,,
replace drill detector,,,
replace drill,,,
part washer,,,
unit return,,,
replace broken disc,R,,
ram,,,
valve stem,I,valve_stem,
ram inop,,,
dwell,,,
vogel system fault,,,
clutch drive,I,clutch_drive,
plug connection,,,
4 hour,,,
screw shaft,,,
go under control,,,
ap,,,
ejection,,,
replace see attachment,R,,
catcher basket,,,
rupture hydraulic,R,,
rupture hydraulic hose,R,,
replace shaft,,,
hyd return,I,hydraulic_return,
replace hsk,,,
hyd return line,I,hydraulic_return_line,
3cr,,,
valve issue,,,
bearing check request,,,
wide,I,,
lock screw,,,
require cleaning,,,
tensioned loose,,,
rapid,,,
st#10 hsk clamp,,,
15,X,,
ready alarm,,,
replace safety,,,
11/15,X,,
bearings wear,,,
replace xd head,,,
hot alarm,,,
chip in turret,,,
table down sensor,I,table_down_sensor,
low pressure fault,,,
leak from dress,,,
guard need,,,
bowl inop,,,
600,X,,
spindle bearing check,,,
lp at 10bar,R,,
cell,,,
bronze,,,
turret coolant,,,
infeed,,,
leak dresser control,R,,
conduit,,,
leak dresser,R,,
unit breaker trip,,,
casting,,,
replace accumulator,R,,
1100,X,,
hammer,,,
rupture airline,,,
program adjustment,,,
in/out,,,
x axis ball,,,
motor hang,,,
load shuttle,,,
rub,,,
turrets,,,
sealer,,,
11/30,X,,
polarity swap,,,
rpm,,,
pump leak,,,
loading fault,P,load_fault,
breaker repeatedly,,,
replace leak dresser,R,,
can not,,,
unit safety guard,I,unit_safety_guard,
leak at reg,,,
p/p,I,power_pack,I think this is ok 
transformer,,,
track inop,,,
inventoried,,,
dimension,,,
replace flow control,R,,
drop 20,R,,
rebuild request,,,
upright,,,
amp,,,
ewag,,,
pocket,,,
st#10 hsk,,,
brush unit safety,I,brush_unit_safety,
12/13,X,,
can,,,
table speed,,,
fee bowl,,,
remount brush,R,,
cts,,,
wire break,,,
conveyor fault,P,conveyor_fault,
bar loading fault,P,bar_load_fault,
repeatedly trip,,,
glass scale,,,
reg wheel control,,,
technician,,,
belt too tight,,,
bearing ok,,,
trigger,,,
bad contactor,,,
cold,,,
display,,,
motor protection,,,
bring,,,
belt tear,,,
replace o rings,,,
kit,,,
st#9 brush,,,
trip overload,,,
counting,,,
norm clear alarm,,,
double counting,,,
high speed change,,,
overload breaker,,,
norm clear,,,
broken door,,,
increase feed,R,,
new screw,,,
tumbler inop,,,
tablet,,,
replace hp,,,
bad cable,,,
tune,,,
spin in collet,,,
part spin,,,
transport gripper,,,
st#5 motor,,,
neveux,,,
fh3,,,
bore,,,
10bar charge,R,,
contactors,,,
delivery,,,
bad relay,,,
return prox,,,
support bearing,,,
i5,,,
move forward,,,
iemca encoder,,,
5 time,R,,
exceed,,,
hp oil,,,
load bar,,,
norm neveux,,,
loader not load,P,will_not_load,
loose sensor,,,
eng,,,
operator clear,,,
pressure gage,,,
broken mount,,,
3 break,,,
zero position,,,
broken air line,,,
replaced air line,R,,
completely,,,
i2,I,i_2,
chord,,,
output board,I,output_board,
set too low,P,low,
pressure set,,,
k11,,,
k10,,,
machine online,,,
accumulator on iemca,R,,
hernandez,,,
jose hernandez,,,
pressure low,,,
work order,,,
damage thread,,,
prox chord,,,
90,X,,
bad bearing,,,
transfer,,,
brass,,,
hydraulic flange,,,
unit home,,,
h8,,,
power switch,,,
nest of chip,R,,
switch cable,,,
loading bracket,,,
mc,,,
weekend,,,
work zone,,,
6/21,X,,
motor contactor replace,,,
8/1,X,,
replaced entire,R,,
unit need,,,
nnzx3,,,
spare part,,,
left,,,
st#7 spindle,,,
x4,,,
7/13,X,,
stick at 1/2,,,
unable to adjust,,,
8/2,X,,
scream,,,
main fault,P,main_fault,
loose pulley,,,
output module,,,
offload conveyor inop,R,,
approach valve,,,
24 hour,,,
replace controller,,,
tony plug,,,
pully,,,
7/25,X,,
plc battery,,,
need replace,,,
collet not close,P,will_not_close,
anca,,,
7/26,X,,
7/21,X,,
bearing instal,,,
guage,,,
slug detector,,,
clear by hand,,,
a. replace,,,
code,,,
coolant clearing,,,
measure,,,
table stick,,,
6/27,X,,
valve nok,,,
adjust see,R,,
rot cam switch,,,
rot cam,,,
rupture hp coolant,R,,
coolant hose replace,R,,
hp coolant hose,I,high_pressure_coolant_hose,
rupture hp,R,,
shut down machine,,,
find,,,
end bearing,,,
vrf,,,
incomplete,,,
dreher,,,
clamp break,,,
major leak,,,
binding,,,
ship,,,
cam switch fault,,,
issue remain,,,
bag filter,,,
paint require,,,
search,,,
bus duct,,,
refill,S,fill,
adjust table index,,,
index speed,,,
table index speed,,,
bad connection,,,
duct,,,
grind room,,,
replace contactor,,,
st#8 valve,,,
valve with rebuilt,,,
50 micron,,,
micron,,,
motor remove,,,
weld shut,,,
st#9 brush unit,,,
detection wire,,,
coolant level,,,
consume alarm,,,
belt tension,,,cAN BE AN ITEM OR AN ACTION 
hose mfg,,,
replace control,,,
chip conveyor belt,I,chip_conveyor_belt,
er,,,
er module,,,
pump order,,,
mill clutch fault,,,
mill clutch,,,
table rebuild,,,
pulley hub,,,
activated,,,
vfd,,,
shut machine,,,
coolant miss,,,
miss or consume,,,
leak in spindle,,,
broken coolant,,,
spndle,,,
cause part,,,
nn,,,
unit run,,,
slowly,,,
cnc hydraulic,,,
cnc hydraulic filter,,,
servo drive,,,
drive not ready,,,
shelf unit,,,
saw blade,I,saw_blade,
conveyor jamming,R,,
tool clamp screw,,,
warm,,,
sp#5,,,
new pump,,,
center cylinder,,,
oil skimmer,,,
b hydraulic,,,not sure
temporary,,,
b turret wo,,,
turret wo not,,,
turret wo,,,
drain pipe,,,
power pack filter,,,
aligned,,,
pack filter,,,
pulley shaft,,,
10/3,X,,
120v,,,
leak repair,,,
ruptured hose,,,
6 spindle,,,
microswitch,,,
pulley and belt,,,
stop mid,,,
opening,,,
nuts,,,
add chip guard,,,
hsk tool,,,
requires,,,
cnc selector switch,,,
cnc selector,,,
new switch,,,
1700 motor,,,
confirmed,,,
fiber,,,
optic,,,
fiber optic,,,
prox cable break,,,
timing,,,
stay run,,,
add chip,,,
auto cycle,,,
pump replace,,,
replace with inventory,,,
reboot machine,,,
switch gear,,,
unable to remove,,,
return to prod,,,
fan inop,,,
broken clamp screw,,,
single leg,,,
chain tension,,,CAN BE ITEM OR AN ACTION
adjust loader,R,,
pusher hang,,,
utility o/t,,,
0,X,,
controller board,,,
coolant system alarm,,,
electrical failure,,,
machine stop,,,
motor contactor fault,,,
detail,,,
way,,,
laser td,,,
pin on see,R,,
axis 3.2,,,
travel alarm,P,travel_alarm,
strip see,R,,
strip see clamp,R,,
overide,,,
6/8,X,,
unit overload,,,
tool detect,,,
fee belt,,,
allen wrench tip,,,
wrench tip,,,
head with spare,,,
allen wrench,,,
flush,,,
3.1,X,,
wrong time,,,
utility o/t fault,,,
workpiece,,,
hyd oil,I,hydraulic_oil,
replace coil,,,
9/27,X,,
line leak,,,
sensor alarm,,,
strike,,,
rectifier,,,
unit nok,,,
replaced damage,,,
st2 prox,,,
8/24,X,,
robot inop,,,
offload robot inop,,,
base leak,,,
wheel speed,,,
iso 46,I,iso_46,
dust collector,,,
pump remove,,,
0bar,P,zero_pressure,
6 break,,,
swap with shelf,,,
jpm replace,,,
accumulator low,R,,
st#6 strip,,,
strip clamp screw,,,
strip clamp,,,
wire on aim,,,
belt wear,,,
vogel tank leak,,,
tank leak,,,
multiple fault,,,
motor not spin,P,will_not_spin,
stuck in 1/2,,,
adjusted sensor,,,
replace breaker,,,
severely,,,
replace table index,,,
shear pin,,,
spinning,,,
replace pendant,,,
induplate and instal,,,
filter motor,,,
coolant pump impellor,,,
connect plug,,,
motor cool,,,
end of bar,I,bar_end,
motor loose,,,
weak,,,
adjust reverse,,,
unit not return,P,will_not_return,
reverse timer,,,
timer,,,
cutting,,,
st#6 spindle,,,
issue at 30bar,,,
transport unit,,,
tie,,,
hard drive,,,
need a new,,,
bear replace,,,
wire tie,,,
brian,,,
replaced spring,,,
calibrate,,,
flow report,,,
removed and clean,,,
type,,,
pressure valve,,,
time per bar,,,
safety paint,,,
30/50,X,,
brush motor,,,
pcm clamp,,,
axis alarm,,,
adjust nut,R,,
empty,,,
return machine,,,
accumulator read,R,,
door seal,,,
conveyor not run,P,will_not_run,
control board,,,
normal,,,
45,X,,
main spindle collet,,,
reject at station,,,
set table,,,
12/9,X,,
run hot,,,
gear reducer,,,
pump failure,,,
st#12 spindle,,,
minute,,,
add oil,,,
non maintenance,,,
st#11 motor,,,
requested,,,
new wiring,,,
replaced vogel tank,,,
complete cut,,,
table up/down valve,,,
up/down valve,,,
external,,,
index overtime fault,,,
pcm clamp screw,,,
fall off mount,,,
mount screw,,,
bar loading sequence,I,bar_load_sequence,Not sure
new order,,,
shaft and bearing,,,
bad proximity,,,
jog,,,
filter unit,,,
broken feed,,,
rebuild table rack,,,
gripper jaw,,,
trw,,,
bearings replace,,,
engagement,,,
head and replace,,,
splice,,,
adjustment request,,,
drill detect inop,,,
1,X,,
transition,,,
mid cycle,,,
filter bag,,,
electrical issue,,,
replace gripper,,,
phasing,,,
make loud noise,,,
loud noise,,,
window,,,
diagnosis,,,
elbow,,,
coalescent,,,
inverter issue,R,,
loading sequence,I,load_sequence,
prove,,,
input module,,,
assess cut,,,
remove for repair,,,
filter fault,P,filter_fault,
replace table indexing,,,
electric coil,,,
motor order,,,
spindle face,,,
drive belt break,,,
home sensor,,,
bar stop alarm,P,bar_stop_alarm,
1/26,X,,
$,,,
replace turret,,,
26/80 spindle,,,
9/23,X,,
clamp jaw set,I,clamp_jaw_set,Not sure on this one 
hydraulic leak report,,,
tony need,,,
jaw set,I,jaw_set,Not sure on this one 
i19,,,
thread unit inop,,,
ab,,,
unit 1,,,
10/19,X,,
sever,,,
hydraulic tube,,,
20/80 spindle,,,
new sensor,,,
20/80,,,
eta,,,
check interlock,,,
make loud,,,
vdi,,,
nc,,,
coolant missing alarm,,,
replaced and instal,,,
st#2 xd head,,,
near,,,
broken drive,,,
receive unit,,,
expose wire,,,
travel limit alarm,,,
excessive hydraulic,,,
swap pump,,,
sinico,I,,
coolant missing,,,
register,,,
st#8 brush unit,,,
remove chip,,,
belt pulley,,,
missing alarm,,,
hydraulic consumption,,,
tank float,,,
lock nut,,,
tank float switch,,,
st#8 brush,,,
upper belt pulley,,,
recognition,,,
st#12 valve,,,
destroy,,,
st#2 xd,,,
mains fault,,,
draw bar,I,draw_bar,
bearing report,,,
mains,,,
seal and bearing,,,
report bad,,,
return sensor,,,
stripped,,,
manipulator,,,
chiller unit,,,
fee tube,,,
leak at bar,,,
cap,,,
bar feed fault,P,bar_feed_fault,
20 bar,X,,
power cord,,,
vibrate,,,
replaced high,R,,
replaced high speed,R,,
loose connection repair,R,,
chuck pressure leave,,,
stop pin,,,
change request,,,
rebuild complete,,,
sense,,,
bearing appear,,,
actuator replacement,,,
dye,,,
broken inverter,R,,
axis error,,,
st#2 bearing wear,,,
boot,,,
roof,,,
pump trip,,,
difficulty,,,
unit and reset,,,
leak on power,,,
fuse in bus,,,
hydraulic pump motor,,,
add air,,,
fall off machine,,,
bus plug,,,
hydro,I,hydromat,I think this is hydromat
st2 low pressure,,,
incorrect,,,
pulley bear,,,
loose cable,,,
st#5 tool,,,
leak oil,,,
low and charge,R,,
repeat bar,R,,
frequency converter,,,
r,,,
prox cable replace,,,
reverse contactor,,,
break drill,,,
new part,,,
unit break,,,
swap request,,,
cb17,,,
valve speed,,,
rt,,,
spindle turn,,,
rack cylinder,,,
referencing,,,
axis over travel,,,
loose plug,,,
spray clean,,,
swap 35/60,,,
pre,,,
excessive hydraulic consumption,,,
power supply replace,,,
dc power supply,,,
wash tank,,,
bad output,,,
rebuild back end,,,
tuesday,,,
pressure not come,P,will_not_come,
nitrogen,,,
complete bar,,,
regulator valve,,,
operator attempt,,,
hydraulic main fault,,,
drill out damage,,,
ruptured bladder,,,
compromise by bad,,,
motor drive,,,
motor thermal overload,,,
pendant stop,,,
30 bar,,,
table not indexing,P,will_not_index,
table rack cylinder,,,
seize motor starter,,,
check interlock ready,,,
seize motor,,,
supply unit,,,
hydraulic valve,,,
tap box,,,
ready of supply,,,
interlock ready,,,
liquid,,,
head clamp,,,
swap motor,,,
h22,,,
tool head clamp,,,
saturday,,,
metering valve replace,,,
24v dc power,,,
dc,I,direct_current,
supply replace,,,
check ok,,,
box and bus,,,
belt slip,,,
pendant stop pin,,,
motor drive shaft,,,
slip off motor,,,
run but tumbler,,,
power to sinico,,,
drive belt slip,,,
rear collector,,,
axis servo,,,
flores,,,
p/o remove,,,
damage 24v dc,,,
7/5,X,,
25 gallon,,,
trip dog,,,
hydraulic main,,,
motor not start,P,will_not_start,
rear clamp,,,
downtime,,,
require on step,,,
safety paint require,,,
bearings check request,,,
lincoln overhead door,,,
bearings check,,,
overhead door,,,
odd,,,
rack drive seal,,,
pressure guage,,,
26bar,X,,
light bulb,,,
replace light,,,
alarm 763051 coolant,,,
replaced drive,,,
763051 coolant clearing,,,
replaced inop,,,
1 of 3,,,
variable,,,
763051 coolant,,,
763051,X,,
logic,,,
alarm 763051,,,
clearing system motor,,,
leak at st#2,,,
st#11 thread,,,
lincoln,,,
7/22,X,,
produce,,,
lamp,,,
o/t at 1/2,,,
rotator rack,,,
10/5,X,,
invert rod,,,
plate break,,,
tooth,,,
drive sprocket,,,
original,,,
seal plate,,,
excess torque,,,
st#9 valve,,,
bar be feed,,,
removed jam,,,
bay door,,,
close when bar,,,
adjust feed,,,
indexing slowly,,,
replaced prox,,,
adjust feed pressure,,,
valve not fire,P,will_not_fire,
cross slide,,,
speed control,,,
monday,,,
drive seal,,,
lincoln overhead,,,
bay,,,
st#11 thread unit,,,
gd,,,
variable speed,,,
bored,,,
h15 cs1001,,,
bobbin,,,
workholding,,,
workholding collet,,,
alleviate,,,
cs1001,,,
head with unit,,,
scroll on id,,,
id stem,,,
h,,,
broken belt,,,
swap mill head,,,
saw stroke,,,
break in housing,,,
accumulator good,,,
st#10 spindle bearing,,,
machine wo,,,
machine wo not,,,
good at 30/50,,,
oor,,,
build pressure,,,
bad output module,,,
tank sensor,,,
valve feed,,,
connection cable,,,
loading bar,,,
iemca hydraulic,,,
unit control,,,
table reset,,,
main spindle reservoir,,,
tensioned bolt,,,
severely wear,,,
step drill,,,
rod disconnected,,,
recess head,,,
13,X,,
oper pm,,,
permit,,,
spindle reservoir,,,
load into collet,,,
removed broken,,,
10 bar,,,
oil to main,,,
tank per day,,,
interrupt,,,
overide switch,,,
switch trip,,,
aim reject,,,
riser,,,
good part,,,
axial,,,
7/18,X,,
h29,,,
plug in pump,,,
replace pulley,,,
26bar and charge,,,
door lock alarm,,,
spindle and coolant,,,
rear door lock,,,
ran learn,,,
converter b,,,
frequency converter b,,,
end be load,,,
2024,X,,
minor adjustment,,,
replace chuck,,,
part receive,,,
compromise,,,
bar tip,,,
ran learn mode,,,
prevent movement,,,
line fitting,,,
noise report,,,
plug be kick,,,
tsch,,,
night,,,
gripper sensor inop,,,
tsch 2,,,
depth of stroke,,,
shaft replace,,,
team,,,
module and activate,,,
activate spindle,,,
6/15,X,,
machine lose,,,
alternate slide,,,
machine to run,,,
alternate,,,
overload maindrive,,,
would,,,
maindrive,,,
replaced screw,,,
time daily,,,
daily,,,
adjust prox,,,
6/18,X,,
wheel support,,,
volt,,,
axis soft,,,
0.01,X,,
pump impellor housing,,,
impellor housing replace,,,
axis not go,P,will_not_move,
leak cut,,,
latch need,,,
need repair,,,
obvious leak,,,
order and replace,,,
reset contactor,,,
cable connector,,,
prab,,,
housing replace,,,
impellor housing,,,
loading manually,,,
encoder inop,,,
obvious,,,
failing,,,
feeding,,,
leak cut oil,,,
1420,X,,
leak under machine,,,
threads ok,,,
threads,,,
strip thread,,,
hp collet,,,
slide not finish,P,will_not_finish,
part counter,,,
adjust brake,,,
breaker wo,,,
length variation,,,
coolant feed,,,
compensate,,,
oil feed,,,
line into oil,,,
oil feed line,,,
accumulator bladder,,,
jett,,,
wo not reset,P,will_not_reset,
sam jett,,,
oil drain,,,
fresh,,,
not reset,P,will_not_reset,
breaker wo not,,,
electronic,,,
replace vogel,,,
unit spindle,,,
coolant level sensor,,,
level sensor,,,
position adjust,,,
