Date,Mach type,Mach,Effect,Machine Area,Description,Resolution,I,NA,P,S,U,X
11/11/15,,I1,,,Transport wire side B out of terminal,Repaired sensor connection,"sensor, wire, connector",,,repair,transport,
11/11/15,,T102,,,Base needs to be cleaned,Completed,base,,,"complete, clean, need",,
11/12/15,,H11,,,Table indexing faults,Adusted table indexing valve speed,"valve, table, index, speed",,fault,adjust,,
11/12/15,,H20 ,,,XD head worn?,Issued rebuilt XD head; Sack installed,"head, cross_drill",,worn,"install, rebuild",,
11/12/15,,H24 ,,,Contactor overload failure; Hydraulics down,Contactor set at 1.3Amps; Motor drawing 1.4Amps. Increased breaker setting to 1.6Amps,"motor, hydraulic, breaker, contactor",,"overload, failure",set,,
11/12/15,,H27,,,Hydraulic leak(s),Added blue dye; Bottom RT XD hose leaking / Inverter hose leaks; All tightened,"hydraulic, hose, inverter, cross_drill",,leak,"tighten, add",,
11/12/15,,H6,,,Vogel lube system faults,Replaced vogel controller board,"vogel, lubrication, controller",lubrication,fault,replace,,
11/12/15,,T100,,,Falling out of gear,Adjusted clutch,"clutch, gear",fall,,adjust,fall,
11/12/15,,TR1,,,Horizontal belt snader power cord cut,Repaired,belt,,,repair,"power, cut",
11/13/15,,H10,,,J1019 setup spindle move St#9,Completed,"station, spindle",,,"complete, setup",,
11/13/15,,H27,,,Table indexing faults,Adjusted table indexing valve speed,"valve, table, index, speed",,fault,adjust,,
11/13/15,,H31,,,St#9 and St#10 bearings worn,Replaced bearings in both 36/100 spindles,"station, spindle, bearing",,worn,replace,10,
11/13/15,,H5,,,Table indexing faults; Table will not drop,Table UP/DOWN valve adjusted; Possible bad piston,"valve, table, index, piston",,"broken, fault, drop",adjust,,
11/13/15,,I2 ,,,Side B spindle will not turn on,Spindle was fine when JC arrived,spindle,,,,turn,
11/13/15,,Mayfran,,,Hole in vertical pipe section,Drilled and tapped hole to insert bolt to close hole,"bolt, vertical",,,,close,
11/16/15,,H10,,,Machine will not index,Replaced prox sensor on brushing unit; not registering home,"unit, sensor, machine, prox, brush, index",,,replace,home,
11/16/15,,H15,,,Vogel leaking from pressure gauge,Replaced gauge with plug; No gauges on hand,"pressure, vogel",,leak,replace,plug,
11/16/15,,H20,,,Loader not locking in upright position,Removed broken allen wrench tip from positional set screw. Replaced bearings and seal.,"bearing, screw, loader, position",,broken,"replace, remove, set","seal, locking",
11/16/15,,H32,,,Bar feed faults / feeding wrong length and stopping at 1/2 table; cannot clear,Replaced high speed counter,"table, speed, counter",,fault,"replace, clear","bar, feed, stop, feeding, high",
11/16/15,,H32,,,Pendant light dangling from tower,Screwed back in placed by tightening the two cap screws that vibrated loose OPERATOR LEVEL,"screw, operator, pendant, light",,loose,,level,
11/16/15,,H34,,,Brushing unit will not return,"Motor mounting bolts broken ; Replaced bolts, prox cable, and remounted","unit, motor, cable, prox, brush, bolt",,broken,replace,"returning, mounting",
11/16/15,,I5,,,Track #1 will not move; Hyd motor just spins,Loose guide pulley at hyd motor tensioned; bolt almost falling out  OPERATOR LEVEL,"motor, hydraulic, operator, pulley, bolt, guide","tension, fall",loose,tension,"level, track, fall",
11/16/15,,T100,,,Machine will not stay in gear,Clutch adjusted,"machine, clutch, gear",,,adjust,,
11/17/15,,H1,,,St#4 upper XD replacement requested,Swapped and installed,"station, cross_drill, replacement",,,"request, install, swap",,
11/17/15,,H10,,,Spindles shutting down on their own,Contactor ajustment required / Relay logic machine,"spindle, machine, contactor, relay",,,"adjust, require",,
11/17/15,,H24 ,,,Table drift; Bar change OT faults,Rebuilt 1/2 table valve and replaced table indexing solenoid valve,"valve, table, index, solenoid",,fault,"replace, rebuild","bar, change",
11/17/15,,H26,,,St#5 bearings ??,Swapped 35/60 from shelf; Unit rebuilt,"station, unit, bearing, shelf",,,"rebuild, swap","35, 60",
11/17/15,,H27,,,Chihp conveyor tripping breaker,Reset breaker and connected plug that was likely kick loose by operators,"conveyor, chip, operator, breaker",trip,"loose, trip",reset,plug,
11/17/15,,H3,,,Accumulator check,NO ISSUE!,accumulator,,issue,check,,
11/17/15,,I2,,,Hydraulic pump failure; Motor siezed,Replaced hydraulic pump motor,"motor, hydraulic, pump",,"failure, seize",replace,,
11/17/15,,T103,,,Drive engagement handle broken,Repaired,,,broken,repair,drive,
11/18/15,,H27,,,St#8 HSK 25 clamp screw stripped,Removed and replaced,"station, screw, clamp",,strip,"replace, remove",hsk,
11/18/15,,I18,,,"Channel 3 Block; N60 Z31 Speed li,it",T3.1 too close to soft limits; Tool position adjusted,"tool, position, speed, channel",,,adjust,"limit, close, block",
11/18/15,,I19,,,Coolant missing alarm,Adjusted coolant level sensor,"coolant, sensor",,"alarm, missing",adjust,level,
11/18/15,,I2,,,Turret 3 will not sync and lock,,turret,,,,lock,
11/18/15,,SC2,,,Circuit breaker won t won t reset; Chiller switched OFF,Replaced breaker; Parts arrived 12/15,"part, breaker",,,"replace, reset","12, won",
11/18/15,,T99,,,Weak clutch tension reported,Adjusted clutch tension,clutch,,,"adjust, report",,
11/19/15,,A67,,,Coolant pump motor INOP,Motor starter ordered and installed with W37 overloads,"motor, coolant, pump, starter",,"inoperable, overload","install, order",,
11/19/15,,H3,,,Accumulator check requested due to blank length variation,Saw attachment in need of rebuild; Swapped with spare unit,"unit, accumulator, saw, attachment",,,"check, request, rebuild, swap, need",spare,
11/19/15,,H30,,,CNC selector switch broken,Replaced,"cnc, selector",,broken,replace,switch,
11/19/15,,SC4,,,Iemca NO AIR PRESENT alarm,FRL replaced,"iemca, air",,alarm,replace,frl,present
11/19/15,,SC8,,,Broken parts catcher basket,Repaired,"part, catcher, basket",,broken,repair,,
11/19/15,,SC9,,,Repeated hyd filter faults,New filter and hydraulic reservoir cleaned; SS,"hydraulic, filter",,fault,clean,new,
11/19/15,,T104,,,Collet closing roll and bearings worn,Replaced rolls and bearings,"bearing, collet",,worn,replace,"closing, roll",
11/19/15,,T92,,,Base cleaning requested,Completed,base,,,"complete, request, clean",,
11/20/15,,Acucut,,,Spindle #2 shut off; replace bearings,Bearings replaced but finish issue was not resolved,"spindle, bearing",,issue,replace,shut,
11/20/15,,ES6,,,Tool position #1 will not move freely,Removed headstock and cleaned all action,"tool, position",,,"remove, clean",,
11/20/15,,H1,,,Accumulator check,22bar charged to 30bar,accumulator,30bar,,"check, charge",,
11/20/15,,H7,,,Leaking hydraulic at St#7 valve,Removed valve stack and replaced O-Rings,"station, valve, hydraulic, ring",,leak,"replace, remove",,
11/20/15,,H7,,,Requires safety switch install,Installed,safety,,,"install, require",switch,
11/20/15,,H7,,,Does not know how to adjust HP coolant pressure,Clear guidance issued,"coolant, pressure",,,"adjust, clear",hp,
11/20/15,,H8,,,Broken collet in housing #1,Removed,"collet, housing",,broken,remove,,
11/20/15,,I17,,,HS6 fault; Spindle shut down,Replaced #6 spindle encoder,"spindle, encoder",,fault,replace,shut,
11/20/15,,I19,,,Coolant missing alarm; Coolant is present,Replaced sensor again (11/18) Found sensory adjustment out of spec,"coolant, sensor",,"alarm, missing","replace, adjust",11,present
11/20/15,,I2,,,Side A turret has chips,Removed and cleaned; installed and aligned,"chip, turret",,,"remove, install, clean, align",,
11/21/15,,AIM KS6009,,,Parts jamming at St#1,Loose lock nut on right side of load shuttle tensioned,"station, part, nut",tension,loose,tension,"load, lock",
11/21/15,,I5,,,Hydraulic leak at position 22A on hydraulic distributor,Hose replaced with hose from inventory,"hydraulic, hose, position, inventory",,leak,replace,,
11/23/15,,Deco 1,,,Alarm; Headstock not going home every 15-20 min,Headstock was replaced on 11/20; Operator requesting Z1 referencing. Data not being being accepted by PLC. Denis called Roland Schutz at Tornos Tech and altered a parameter setting (unknown) to get the PLC to accept the position data.,"operator, position, plc",,alarm,replace,"11, home, 20",
11/23/15,,H11,,,Oil leaking from rear of brushing unit,Rebuilt R A cylinder,"unit, oil, brush, cylinder, rear",,leak,rebuild,,
11/23/15,,H27,,,Bar loader chain broken,Repaired,"loader, chain",,broken,repair,bar,
11/23/15,,H28,,,Parts counter INOP,Parts ordered and arrived 12/4; Installed,"part, counter",,inoperable,"install, order",12,
11/23/15,,H36,,,CNC unit failing to fire,Replaced power supply; Warrantied part. New part being sent from Hydromat 11/24,"unit, cnc",,fail,replace,"new, power, 11",
11/23/15,,Mikron,,,Multiple alarms won t clear,Assessed by Roland and Steve A;  Alarms cleared on Wed morning by Pete,steve,,alarm,clear,won,multiple
11/23/15,,Tsch 1,,,Multiple alarms,Machine lost all memory when power to bldg was shut down 11/22. Called in Fanuc service on 11/25 after two days without running and having loaded Tsch 2 programming which IS NOT IDENTICAL. Fanuc team had a back up program from a prior service call which allowd the machine to run.,machine,,alarm,,"power, 11, running, shut",multiple
11/23/15,,Tsch 2,,,2024 Frequency converter B Alarm,Service tech from RT Engineering called in (Ray Metivier) found water in motor connection; Cleared and online,"motor, connector, water",,alarm,clear,online,
11/24/15,,AIM 14,,,Loader not completing cycle,Minor adjustment to Load Shuttle At Center sensor,"sensor, loader",,,adjust,"load, cycle, completing",
11/24/15,,AIM C43,,,Vision position INOP,Machine was programmed for T7552 while running T7551,"machine, position",,inoperable,,running,
11/24/15,,FPI,,,Marine door seal leaking / Leak from seal on basket shaft RHE,Parts received 12/9; Installed,"part, door, shaft, basket",,leak,install,"12, seal",
11/24/15,,H16,,,Wash conveyor jammed,Removed part jammed at entry roller,conveyor,,jam,remove,,
11/24/15,,H16,,,Accumulator check,Both low; Charged to LP 30bar / Charged HP to 50bar,"accumulator, low_pressure",30bar,,"check, charge","hp, low, 50bar",
11/24/15,,H19,,,Replacement XD hear requested,Issued a replacement XD head; Unit removed to be rebuilt,"unit, head, cross_drill, replacement",,,"remove, request, rebuild",,
11/24/15,,H2,,,Bearing assessment of Top XD unit,No issue,"unit, bearing, cross_drill",,issue,,,
11/24/15,,H27,,,Loose seal on St#12 spindle,Replaced seal,"station, spindle",,loose,replace,"12, seal",
11/24/15,,H28,,,Hyd leak and power pack noise reported,Repaired leaks under machine base / Replaced solenoid on power pack,"hydraulic, machine, base, solenoid",,"leak, noise","replace, repair, report","power, pack",
11/25/15,,H19,,,Robot brushing motor INOP,Retrieved motor from spare automation at Induplate and installed,"motor, brush",,inoperable,install,spare,
11/25/15,,H25,,,Conveyor faults; breaker tripping,Replaced fuse,"conveyor, breaker, fuse",trip,"fault, trip",replace,,
11/25/15,,H27,,,,Repaired leak on power pack valve stack,valve,,leak,repair,"power, pack",
11/25/15,,H4,,,Leaking cutting oil,Coolant pump impellor housing replaced,"coolant, pump, oil, housing",,leak,replace,cutting,
11/25/15,,H5,,,Accumulator check,At 10bar;  charged to 30bar,accumulator,30bar,,"check, charge",,
11/25/15,,H7,,,24 volt power INOP,Replaced fuse,fuse,,inoperable,replace,power,
11/30/15,,AIM #4,,,Station 7A lift cylinder stuck at table index,Moved table by hand to free lift cylinder,"station, table, index, cylinder",,stuck,,move,
11/30/15,,AIM #4,,,Station 7B not rotating,Regulator for clamping cylinder was not locked and set quite high.  When I lowered the clamping pressure the cylinder didn t extend. I added some air tool oil to the line and exercised the cylinder a couple of times.,"station, pressure, air, clamp, tool, oil, line, cylinder",,,"set, add",high,
11/30/15,,H10,,,Machine will not stay ON,Took a while reviewing wiring in the electrical cabinet. Tony involved at 1330 and traced short to a broken wire on drill detector sensor; Repaired,"sensor, machine, drill, wire, detector, electrical, cabinet, person",,"broken, short",repair,,
11/30/15,,H10,,,Spindle moves required for H8900 setup,Completed,spindle,,,"complete, setup, require",move,
11/30/15,,H14,,,Bar loader INOP; will not move in Auto,Replaced broken prox on loader valve,"valve, loader, prox",,"broken, inoperable",replace,"bar, auto",
11/30/15,,H19,,,Bad solenoid coil on loading valve,Replaced,"valve, solenoid, coil",,broken,replace,load,
11/30/15,,H23,,,Base cleaning requested; Oil lines clogging,Completed ; Opers running tank too low reported,"base, oil, tank",,,"complete, request, clean, report","low, running",
11/30/15,,H27,,,Table index prox cables falling out of sensor,Repaired wire pulled from connection,"table, sensor, cable, prox, index, wire, connector",fall,,repair,fall,
11/30/15,,H34,,,Bar loading sequence out of sync; want to load with good bar length remaining,Replaced bad proximity switch,prox,,broken,replace,"bar, switch, load",
11/30/15,,H36,,,Cut off unit will not move,Removed saw head and found gearing had disintegrated due to no gear oil being present. Appears to have been shipped this way from Hydromat. ,"unit, head, oil, saw, gear",,,remove,cut,present
11/30/15,,H5,,,Stripped bleeder valve screw on St#4 36/100 spindle,Replaced,"station, spindle, valve, screw",,strip,replace,,
11/30/15,,Reclaim,,,Oil reclaim: Tank not draining during  Empty  cycle.,"Removed breather plug from pump and opened drain valve, no oil flow noted. Drain line was clogged. It took some time but Brian and I got the line clear using a snake and an air gun","valve, pump, air, oil, line, tank, flow",,,"remove, clear","cycle, plug, time",
11/30/15,,Sinico,,,Front clamp not closing causing delay and machine to stop,Hydraulic oil replaced along with both intake filters; Cause was heavy sludge on main intake filter,"hydraulic, machine, clamp, oil, filter, intake",,,replace,"main, stop, closing",causing
12/1/15,,H1,,,Loader not functioning properly  (??) no details,Repaired; Air tool oil added,"loader, air, tool, oil",,,"repair, add",,
12/1/15,,H17,,,St#4 spindle leaking hydraulic fluid from rear of spindle,Removed back end of spindle and repaced all seals,"station, spindle, hydraulic, rear",,leak,"replace, remove","end, seal",
12/1/15,,H23,,,Bar feeder has multiple broken screws on magazine tray,Repaired,"screw, feeder",,broken,repair,bar,multiple
12/1/15,,H24 ,,,Check and charge accumulators,Checked and charged; Machine was offline for inverter issues,"accumulator, machine, inverter",,issue,"check, charge",,
12/1/15,,I3,,,Power supply module alarm,Loose cable connection to drive,"cable, connector, module",,"loose, alarm",,"power, drive",
12/1/15,,NM 1,,,Bar gripper clamp (on loader) spring broken,Repaired; VERY MUCH OPERATOR LEVEL !!,"operator, loader, clamp, gripper",,broken,repair,"bar, level",
12/1/15,,Sinico,,,Clamping system not functioning properly; out of sync and delayed,Replaced hydraulic filters; Resolve ended up being a clogged main intake filter for the hydraulic pump NOTE- This machine has two hyd pumps and two filters.,"hydraulic, machine, pump, clamp, filter, intake",,,replace,main,
12/1/15,,T98,,,Remove damaged stock tube liner,Removed,"tube, stock",,broken,remove,,
12/2/15,,ES5,,,Steps and OAL variation reported by operator; Removal of headstock requested,Head removed and cleaned thoroughly. Found cam action spring binding on one tool station. Removed spring and cleaned up burring on spring OD; Reset and reinstalled,"station, operator, head, tool",,,"remove, request, install, clean, reset, report",,
12/2/15,,H1,,,Accumulator check; Bad concentricity TRW piston,At 27bar; Charged to 30bar   No issue,"accumulator, piston",30bar,"broken, issue","check, charge",,
12/2/15,,H29,,,St#3 bearings worn; Assessed by Marcel as worn,Bearings and seals replaced,"station, bearing",,worn,replace,seal,
12/2/15,,H29,,,Assess St#3 spindle bearings,Bearings bad; removed spindle and replaced bearings,"station, spindle, bearing",,broken,"replace, remove",,
12/2/15,,H38,,,Assess cut off unit; Saws being changed 3x per day,Bad stock clamp; Bars spinning in clamp while being cut; OPERATOR SHOULD BE AWARE OF THIS AND CHECKED FIRST!,"unit, operator, clamp, saw, stock",,broken,check,cut,
12/2/15,,I5,,,Iemca track #2 broken ,Replaced track  ,iemca,,broken,replace,track,
12/2/15,,NM 2,,,Broken air cylinder on bar loader,Replaced broken fitting between filter and lubricator on FRL,"loader, air, filter, fitting, cylinder",,broken,replace,"bar, frl",
12/2/15,,RM221,,,Drive belt broken,Replaced belt; 3X655G,belt,,broken,replace,drive,
12/2/15,,SC7,,,Feed stroke lever has worn pivot bolt hole,Replaced Feed stroke Lever and set stroke,"bolt, stroke",,worn,"replace, set",feed,
12/2/15,,T99,,,Base cleaning requested,Completed,base,,,"complete, request, clean",,
12/2/15,,TK3,,,Coolant hose ruptured,Replaced hose,"coolant, hose",,rupture,replace,,
12/2/15,,Tsch 1,,,Base cleaning requested,Completed,base,,,"complete, request, clean",,
12/3/15,,Deco 1,,,Air leak from Subspindle reported,No air leak found; Bad idler bearing replaced on S2 drive,"bearing, air",,"broken, leak","replace, report",drive,
12/3/15,,H1,,,Base needs to be cleaned,Completed,base,,,"complete, clean, need",,
12/3/15,,H27,,,Brush unit INOP,Shaft connecting rod unscrewed; Repaired,"unit, brush, shaft, rod",,inoperable,repair,,
12/3/15,,H36,,,Cut off unit not completing cut through bar,REMOVED PART SITTING ON C/O UNIT PREVENTING IT FROM CUTTING THROUGH THE BAR !!!!!,unit,,,remove,"bar, cut, completing, cutting",
12/3/15,,H4,,,Dropping parts from random collets; Check Accumulator,No issue with Accumulator; OK at 30bar,"accumulator, part, collet",30bar,"issue, drop","check, ok",,
12/3/15,,H7,,,Pendant is blank; Spindles and coolant will not turn on,Cleared buildup of chips from loader proximity switches again; 4th time OPERATOR LEVEL,"spindle, coolant, chip, operator, loader, prox, pendant",,,clear,"level, time, turn",
12/3/15,,I3,,,Power surge;  No power,Choke (transformer of sorts) not providing correct 600 volts to drives. Part identified in Index schematics identifies a line reactor which was purchased and installed. This in not the choke. The line reactor is meant to be used with the choke and subsequently over heated. Choke was removed from I1 and installed; Subsequent alarms on Z3 spindle after losing zero position.Doug Patrick in with Norm resetting.,"spindle, line, index, position",,alarm,"remove, install, reset, correct","power, drive, used",
12/3/15,,I5,,,Iemca track # 6 broken; Spindle shut down,Replaced; Training Patrick Ayers,"spindle, iemca",,broken,replace,"track, shut",
12/3/15,,Mikron,,,Air pressure alarms,Swapped input module between stations in elctrical cabinet. Faulty module using #34 Input. Swapped with module not using #34.,"station, pressure, air, module, electrical, cabinet",,"fault, alarm",swap,,
12/3/15,,SC5,,,Cooling unit faults,"After review, Steve A believed the coils to be packed with swarf and binding the stirring unit; Lyle removed the chiller unit and spray cleaned the coils","unit, steve, coil",,fault,"remove, clean",cooling,
12/3/15,,SC8,,,Cooling unit faults,"After review, Steve A believed the coils to be packed with swarf and binding the stirring unit; Lyle removed the chiller unit and spray cleaned the coils","unit, steve, coil",,fault,"remove, clean",cooling,
12/4/15,,H38,,,Bar loader faults,Complete bar loader realignment; Removed bar jammed in stock guides,"loader, stock, guide",,"fault, jam","remove, complete",bar,
12/4/15,,H5,,,Saw clamp screw stripped; Both ends,Drilled out damaged clamp screw and replaced,"screw, clamp, saw",,"broken, strip",replace,,
12/4/15,,I1,,,Side A turret has chips,Removed and cleaned,"chip, turret",,,"remove, clean",,
12/4/15,,I1,,,E Stop over limit alarm,Operator JW cleared,operator,,alarm,clear,"stop, limit",
12/4/15,,I2,,,Misaligned cup at Bise transfer to spindle,Corrected,spindle,,,correct,,
12/4/15,,RM 227,,,Remove coolant regulator valve per oper request,Removed,"valve, coolant, operator",,,"remove, request",,
12/4/15,,SC9,,,Cracked FRL leaking air,Replaced,air,,leak,replace,frl,
12/7/15,,Durr,,,Overtemp alarm,Reset after cooling; Ocean State Mechanical called in for Tuesday 12/8 for Nitrogen and refridgerant charge. Completed 12/8,,,alarm,"complete, charge, reset","12, cooling",
12/7/15,,H24 ,,,Pendant stop pin broken,Repaired,"pin, pendant",,broken,repair,stop,
12/7/15,,H7,,,St#3 slot cutting spindle leaking hydraulic fluid,Bad hydraulic metering valve replaced,"station, spindle, valve, hydraulic",,"broken, leak",replace,cutting,
12/7/15,,H8,,,Heavy hydraulic leak from under casting,Leaking table rack cylinder repaired and reinstalled; Also found holes in funnel from slug imapct. Used liquid steel as a temp fix until welding can be arranged. MOB in on Wed 12/9 for assessment. H15 will require the same repair.,"hydraulic, table, cylinder, rack",,leak,"repair, install, require","12, used",
12/7/15,,H8,,,St#6V motor  bad ,Gear reducer output drive shaft bearings no good; Swapped motor with spare on the shelf,"station, motor, bearing, shaft, gear, shelf",,broken,swap,"drive, spare",
12/7/15,,I19,,,Parts offload conveyor belt torn and unusable,Replaced Donner belt,"conveyor, part, belt, offload",,,replace,,
12/7/15,,I6,,,Alarm; Hydraulic motor too hot,Plug in connection on pump motor shorted and burned; Replaced,"motor, hydraulic, pump, connector",,alarm,replace,"plug, hot",
12/7/15,,SC3,,,Base needs to be cleaned,Completed,base,,,"complete, clean, need",,
12/7/15,,T100,,,Base cleaning requested,Completed,base,,,"complete, request, clean",,
12/7/15,,T91,,,Base cleaning requested,Completed,base,,,"complete, request, clean",,
12/7/15,,Time Clock,,,Time incorrect due to power outage on Saturday,Corrected,,,,correct,"power, time",
12/7/15,,TK3,,,Check interlock ready of supply unit; Alarm,Ran loader through sequence and reset.,"unit, loader, interlock",,alarm,"check, reset","ready, run",
12/7/15,,Tsch 1,,,New microphone for balance system requested,Replaced microphone (New) also replaced coolant feed trunk due to low coolanr flow reports,"coolant, flow",,,"replace, request, report","new, feed, low",
12/7/15,,Tsch 1,,,Coolant flow intermittently dropping off,Coolant pump motor relay faulting; Replaced,"motor, coolant, pump, flow, relay",,"fault, drop",replace,,
12/7/15,,Tsch 1,,,New balancing system microphone requested,Replaced,,,,"replace, request",new,
12/8/15,,Anca,,,Mist Buster service requested,Cleaned cells and filters,filter,,,"request, clean",,
12/8/15,,Bridgeport T8,,,Airline requested for new spray mist coolant,Issued,coolant,air_line,,request,new,
12/8/15,,FPI,,,Coalescent pump INOP,Pick up tube in wash tank broken; Replaced,"pump, tank, tube",,"broken, inoperable",replace,pick,
12/8/15,,H18,,,ST#10 spindle leaking hydraulic fluid,Rebuilt back end of spindle,"station, spindle, hydraulic",,leak,rebuild,"10, end",
12/8/15,,H38,,,Bar ends being machined; Loading bar edns,Bar end limit switch replaced,,,,replace,"bar, switch, load, end, limit",
12/8/15,,H8,,,Chip conveyor electrical connection cable INOP,Replaced plug in connector,"conveyor, chip, cable, connector, electrical",,inoperable,replace,plug,
12/8/15,,H8,,,St#15 valve feed control not adjustable,Swapped valve,"station, valve",,,swap,"feed, control",
12/8/15,,I17,,,Coolant missing or consumed alarm,replaced coolant tank sensors; Baumer 18P3703 and Baumer 18P1703,"coolant, sensor, tank",,"alarm, missing",replace,,
12/8/15,,I5,,,P/O motor INOP,Replaced spindle motor and encoder cable to get back online,"motor, spindle, cable, encoder",,inoperable,replace,online,
12/8/15,,T92,,,Base cleaning requested,Completed,base,,,"complete, request, clean",,
12/9/15,,A78,,,Running with clip   ,No electrical issue; Stock stop not reading full pressure,"pressure, electrical, stock",,issue,,"running, stop",
12/9/15,,Dreher,,,Dust collector separated from vent stack,Mount for intake fan rewelded to table / intake checked for debris / reconnected to exhaust ducting,"table, fan, collector, intake",,,"check, weld",mount,
12/9/15,,H2,,,Bottom cross drill head screw loose when spindle was fired.; Caught in casting/ Funnel,Removed XD head and replaced with spare unit; Unit removed scheduled for rebuild,"unit, spindle, screw, head, drill, cross_drill, cross",,loose,"replace, remove, rebuild",spare,
12/9/15,,H2,,,Botom XD bolt loose; bored into casting,Removed XD head and replaced with inventory XD head,"head, cross_drill, bolt, inventory",,loose,"replace, remove",,
12/9/15,,H8,,,ST#6 milling head noise,Swapped milling head with backup head; Rebuilding noisy head,"station, head, mill",,noise,"rebuild, swap",,
12/9/15,,Sinico,,,Workzone lighting INOP; Broken,Installed two new fixtures,light,,"broken, inoperable",install,new,
12/10/15,,A67,,,HS change shaft and bearings worn,Replaced bearings and shaft,"bearing, shaft",,worn,replace,change,
12/10/15,,H33,,,Threading unit INOP,Blown fuse replaced.,"unit, fuse, thread",,"inoperable, blown",replace,,
12/10/15,,H8,,,St#5 Workholding collet broken in housing,Removed,"station, collet, housing",,broken,remove,,
12/10/15,,I2,,,AIM rejecting good parts,Loose lock nut on vertical cylinder stop tightened; calibrated,"part, cylinder, nut, vertical",,loose,tighten,"stop, lock",
12/10/15,,I4,,,Transport collision alarms,Z2 spindle dropping too far when picking up part; Program adjusted,spindle,,"alarm, drop",adjust,transport,
12/10/15,,T105,,,End of Bar switch tripping randomly,Replaced expansion spring on collet OPEN/CLOSE lever,collet,trip,trip,replace,"bar, switch, end, open, close",
12/11/15,,Deco 1,,,Main spindle collet will not open/close,Added oil to main spindle reservoir ; Oper PM,"spindle, operator, oil, collet",,,add,"main, open, close",
12/11/15,,Deco 2,,,Main spindle collet will not open/close,Added oil to main spindle reservoir ; Oper PM,"spindle, operator, oil, collet",,,add,"main, open, close",
12/11/15,,H11,,,Assess bearing play at St#3; JPM finds wear but not DOWN,Spindle bearings replaced in record time 60 minutes,"station, spindle, bearing, person",,,replace,"play, time, 60",
12/11/15,,H18,,,Table out of sync; Power failure on 3rd shift,Table reset,table,,failure,reset,"power, shift",
12/11/15,,T102,,,Base cleaning requested,Completed,base,,,"complete, request, clean",,
12/12/15,,H16,,,Accumulator check requested,Both OK at 30bar,accumulator,30bar,,"check, request, ok",,
12/12/15,,H5,,,Leaking cutting oil,Coolant pump impellor housing replaced,"coolant, pump, oil, housing",,leak,replace,cutting,
12/12/15,,H8,,,Accumulator check requested,Both accumulators reading 20bar; Charged both to 30bar,accumulator,30bar,,"check, request, charge",20bar,
12/14/15,,CG231,,,No Power reported,Variable speed pulley bearing siezed; replaced and running,"bearing, pulley, speed",,seize,"replace, report","power, running",
12/14/15,,H1,,,1 of 3 cover latches broken,Replaced,cover,,broken,replace,,
12/14/15,,H14,,,St#2 drill detector INOP,Replaced inop sensor,"station, sensor, drill, detector",,inoperable,replace,,
12/14/15,,H14,,,Clamp screw stripped,Removed and replaced,"screw, clamp",,strip,"replace, remove",,
12/14/15,,H28,,,St#2 bearings worn?,Drive tube more an issue than bearings; Replaced drive tube and bearings,"station, bearing, tube",,"issue, worn",replace,drive,
12/14/15,,H3,,,St#2 drill detector INOP,Sensor out of range; adjusted,"station, sensor, drill, detector",,inoperable,adjust,,
12/14/15,,Shipping,,,Damaged #2 bay door,Lincoln Overhead Door; Gerry / Replaced track mounting bolt that was being struck by track wheel; No Charge,"door, wheel, bolt",,broken,"replace, charge","track, mounting",
12/14/15,,T91,,,Sleeve frozen in clamping spool,Removed sleeve and polished OD; Issued new clamping spool,clamp,,,remove,new,
12/14/15,,T92,,,Dropping out of gear,Adjusted clutch,"clutch, gear",,drop,adjust,,
12/14/15,,T98,,,Dropping out of gear,Adjusted clutch,"clutch, gear",,drop,adjust,,
12/15/15,,A77,,,Clutch rebuild ? Indexing slowly,Adjusted per Denis guidance,"clutch, index",,slow,"adjust, rebuild",,
12/15/15,,Ewag,,,C axis slowing down when spinning,,axis,,slow,,,
12/15/15,,H10,,,Spindle move for Jacobs,Completed,spindle,,,complete,,
12/15/15,,H16,,,St#13 motor INOP,Replaced motor,"station, motor",,inoperable,replace,13,
12/15/15,,H26,,,St#2 clamp screw stripped,Removed and replaced,"station, screw, clamp",,strip,"replace, remove",,
12/15/15,,H32,,,Accumulator check requested,Both OK at 30bar,accumulator,30bar,,"check, request, ok",,
12/15/15,,I2,,,Hydraulic leak Side B,No hydraulic leak found; Transport reset and online,hydraulic,,leak,reset,"transport, online",
12/16/15,,Deco 1,,,Air leak in Sub spindle,Spindle seals and bearings replaced; Installed on 12/16 but aligned on 12/17 by Denis,"spindle, bearing, air",,leak,"replace, install, align","12, seal",
12/16/15,,H23,,,St#12 Valve speed adjustment INOP,Removed jammed set screw from knob and replaced,"station, valve, screw, speed",,"inoperable, jam","replace, remove, adjust, set",12,
12/16/15,,H28,,,Needs lamp replaced,Replaced bulb and also replaced pendant stop pin,"pin, pendant",,,"replace, need",stop,
12/16/15,,H32,,,Bar loading faults due to 1/2 table drift,1/2 table valve rebuilt,"valve, table",,fault,rebuild,"bar, load",
12/16/15,,H7,,,Hydraulic leak; Rebuild table rack cylinder,Removed base and cylinder. Replaced seal and reinstalled; Nice job by anthony / Kyd fittings under casting tightened,"hydraulic, table, base, fitting, cylinder, rack",,leak,"replace, remove, install, rebuild, tighten",seal,
12/16/15,,SC5,,,No pwer from 24V power supply; Tripping F21 breaker,Traced to loose connection in main tank float switch plug in connector,"breaker, tank, connector",trip,"loose, trip",,"switch, power, main, plug",
